Cell_name	Zvalue	Color	Cluster	ERAP2	IRF1
MGH53_P1_A01	NA	black	0	0	1.355
MGH53_P1_A02	-1.00890057381	black	0	0.21537	3.2653
MGH54_P2_E07	-1.28451206538	black	0	4.6731	1.1395
MGH53_P4_F07	NA	black	0	0	1.0391
MGH53_P2_C05	NA	black	0	0	1.3109
MGH53_P4_H07	0.157043807134	green3	2	0.14666	1.0321
MGH53_P2_C06	NA	black	0	0	3.2769
MGH36_P3_F03	NA	black	0	0	1.113
MGH36_P2_A10	-0.0483961256544	green3	2	0.29042	1.4803
MGH53_P4_E03	NA	black	0	0	0
MGH36_P9_D12	0.0359062206016	green3	2	0.90149	1.544
MGH54_P2_H03	-1.25505527912	black	0	3.3025	0.94111
MGH36_P4_D06	-0.0177810429437	green3	2	0.15704	1.384
MGH53_P2_B03	0.342022646428	green3	2	0.094912	0.70399
MGH53_P4_F03	NA	black	0	0	0.926
MGH36_P10_E09	0.240112392038	green3	2	0.12168	0.88049
MGH53_P1_G02	NA	black	0	0	0.98112
MGH54_P2_A02	NA	black	0	0	1.5553
MGH36_P3_A07	NA	black	0	0	1.0229
MGH53_P4_E12	-1.43310830175	black	0	0.064883	3.4563
MGH54_P2_A03	0.157098354143	green3	2	0.30801	0.8844
MGH53_P4_E10	NA	black	0	0	1.2339
MGH54_P2_D08	NA	black	0	0	0.81476
MGH36_P8_A02	0.0579958625768	green3	2	2.6269	1.4489
MGH54_P2_B07	NA	black	0	0	1.2833
MGH53_P1_B10	NA	black	0	0	0.95606
MGH53_P2_F08	NA	black	0	0	0.73379
MGH36_P10_A01	-1.14614498906	black	0	2.8996	0.8922
MGH36_P10_F01	-0.0406285128465	green3	2	0.02432	1.4093
MGH53_P4_G03	NA	black	0	0	0.97966
MGH53_P1_F12	-2.66888612168	black	0	3.4638	0.45523
MGH36_P4_B03	NA	black	0	0	3.2606
MGH54_P2_C07	NA	black	0	0	0.62199
MGH53_P1_B02	0.028656743985	green3	2	0.49057	1.1928
MGH54_P2_D05	0.01399131712	green3	2	0.11902	1.3214
MGH53_P2_C08	NA	black	0	0	0.58496
MGH53_P4_H09	NA	black	0	0	0.67627
MGH36_P8_H02	0.307887260946	green3	2	2.669	1.5811
MGH36_P10_H10	0.31923190417	green3	2	0.18269	0.63134
MGH53_P1_A12	0.209112472472	green3	2	0.11503	0.94785
MGH36_P8_F08	NA	black	0	0	0.9092
MGH53_P1_D10	NA	black	0	0	0.8504
MGH53_P4_A09	-0.400632472769	green3	2	0.15186	2.0936
MGH53_P2_H08	NA	black	0	0	0.76043
MGH36_P4_A09	-0.0596848355174	green3	2	0.42331	1.5898
MGH53_P4_C08	0.176331647215	green3	2	0.3173	0.80735
MGH36_P5_E04	NA	black	0	0	2.987
MGH53_P2_A07	NA	black	0	0	1.4131
MGH54_P2_G10	-1.27267148426	black	0	3.2342	0.91915
MGH36_P7_E06	NA	black	0	0	1.3426
MGH36_P9_D04	-1.85793247594	black	0	2.6993	0.47923
MGH53_P1_C12	NA	black	0	0	1.175
MGH36_P8_F06	-0.102901711323	green3	2	0.05797	1.5165
MGH36_P1_G11	-1.01890849135	black	0	1.6178	0.31267
MGH53_P1_F02	NA	black	0	0	0.74932
MGH54_P2_D10	NA	black	0	0	0.82782
MGH36_P9_A08	-0.117912220853	green3	2	0.76893	0.43403
MGH53_P2_H03	NA	black	0	0	1.1506
MGH53_P4_B03	NA	black	0	0	1.2141
MGH53_P1_F10	NA	black	0	0	1.0144
MGH53_P4_B05	0.132914190481	green3	2	0.16736	1.0711
MGH53_P2_B08	NA	black	0	0	0.73812
MGH36_P3_B06	0.0990312901356	green3	2	0.0071955	1.189
MGH36_P10_C02	NA	black	0	0	0.90458
MGH36_P2_E05	NA	black	0	0	1.0854
MGH54_P2_G09	NA	black	0	0	1.0902
MGH54_P2_D12	0.254390912238	green3	2	0.069015	0.89608
MGH53_P2_H02	0.462541855109	green3	2	0.055196	0.52306
MGH36_P8_F11	NA	black	0	0	0.93734
MGH53_P2_A10	0.291948334432	green3	2	0.08134	0.81558
MGH54_P2_E09	0.161482984896	green3	2	0.14666	1.0229
MGH36_P3_H06	0.0148420656317	green3	2	0.12829	1.3196
MGH36_P5_D05	0.0963610108225	green3	2	0.049631	1.184
MGH54_P2_A11	0.05690668665	green3	2	0.12961	1.2388
MGH54_P2_G04	NA	black	0	0	1.0759
MGH36_P6_C01	0.205527962209	green3	2	0.08134	0.97746
MGH53_P2_E06	NA	black	0	0	0.40272
MGH53_P1_E01	-0.545042107913	red	1	2.2699	1.0538
MGH36_P1_B01	0.243264384429	green3	2	0.0028825	0.95903
MGH54_P2_H04	NA	black	0	0	1.2073
MGH36_P2_C05	-0.0269020322414	green3	2	0.045443	1.3896
MGH36_P6_H05	NA	black	0	0	1.4044
MGH36_P10_E06	NA	black	0	0	0.57531
MGH54_P2_F03	0.0220856108037	green3	2	0.15316	1.3045
MGH36_P4_B10	-0.898117978666	black	0	4.3464	1.2104
MGH54_P2_F02	NA	black	0	0	2.578
MGH36_P2_E11	NA	black	0	0	1.0489
MGH54_P2_D11	0.262037392121	green3	2	0.085425	0.86869
MGH54_P2_G01	NA	black	0	0	1.433
MGH36_P9_D02	-0.295302310056	green3	2	3.5669	1.3374
MGH54_P2_E06	NA	black	0	0	0.7476
MGH54_P16_F12	0.228134752917	green3	2	0.11902	0.90689
MGH53_P5_C12	0.0976850516919	green3	2	0.49467	0.69866
MGH54_P12_C10	NA	black	0	0	0
MGH54_P16_F02	-0.267891611602	green3	2	1.4688	1.0384
MGH54_P11_C11	NA	black	0	0	1.1538
MGH53_P1_E03	NA	black	0	0	1.1706
MGH54_P15_D06	NA	black	0	0	2.1683
MGH54_P14_F05	NA	black	0	0	0.58015
MGH54_P16_A03	NA	black	0	0	0.83026
MGH53_P4_G11	0.253313452152	green3	2	0.07861	0.89064
MGH53_P7_B09	-2.19094189645	black	0	0.10836	4.554
MGH54_P17_D11	NA	black	0	0	0.42761
MGH54_P10_G04	NA	black	0	0	1.1124
MGH54_P10_C06	0.242776029253	green3	2	1.1909	1.8961
MGH53_P2_A02	NA	black	0	0	0.90072
MGH53_P4_F06	NA	black	0	0	0.81803
MGH53_P7_F07	0.172726818007	green3	2	0.1137	1.0201
MGH53_P11_F06	0.297129695087	green3	2	0.10299	0.78409
MGH53_P5_G02	NA	black	0	0	1.5602
MGH53_P1_F09	-0.206070037361	green3	2	0.10702	1.7124
MGH53_P11_H03	0.0235544064783	green3	2	0.18777	1.2992
MGH53_P10_D11	NA	black	0	0	0.66721
MGH53_P1_A10	NA	black	0	0	0.46467
MGH53_P4_B12	-0.112701436228	green3	2	0.14666	1.5651
MGH53_P5_H09	NA	black	0	0	0.95754
MGH53_P9_D07	NA	black	0	0	5.4117
MGH53_P11_E03	NA	black	0	0	1.679
MGH53_P1_C02	NA	black	0	0	1.0377
MGH53_P10_F11	NA	black	0	0	0.38515
MGH53_P1_E02	-1.13924697537	black	0	0.52406	5.0659
MGH53_P1_D07	NA	black	0	0	0.42975
MGH53_P6_B01	NA	black	0	0	0.58592
MGH53_P2_G04	-0.0154038673129	green3	2	0.20289	1.3835
MGH53_P1_C05	0.0891552455471	green3	2	0.22897	1.1395
MGH53_P2_G09	NA	black	0	0	4.3879
MGH53_P5_A05	NA	black	0	0	2.7082
MGH53_P5_F04	NA	black	0	0	2.8502
MGH53_P10_H03	0.31697997158	green3	2	0.074505	0.77484
MGH53_P11_F08	0.1793900513	green3	2	0.12961	0.99711
MGH54_P7_F12	NA	black	0	0	0.5008
MGH53_P8_F03	-0.02989615233	green3	2	0.75958	1.0384
MGH53_P11_A07	-2.59233881418	black	0	0.21164	5.507
MGH53_P6_B11	NA	black	0	0	0.72509
MGH53_P4_C07	NA	black	0	0	3.8724
MGH53_P6_H06	NA	black	0	0	5.5423
MGH36_P1_A01	0.38857673037	green3	2	0.070389	0.64339
MGH36_P1_A02	NA	black	0	0	0.76553
MGH36_P1_A03	0.334795761458	green3	2	0.14926	0.64708
MGH36_P1_A04	NA	black	0	0	0.78576
MGH36_P1_A05	-2.06494620231	black	0	5.2204	1.0158
MGH36_P1_A06	-0.220259087137	green3	2	1.9568	1.2203
MGH36_P1_A08	0.255149220594	green3	2	0.084064	0.88284
MGH36_P1_A10	NA	black	0	0	0.94186
MGH36_P1_A12	NA	black	0	0	0.63227
MGH36_P1_B02	NA	black	0	0	0.58015
MGH36_P1_B03	0.360666686888	green3	2	0.060739	0.70752
MGH36_P1_B04	0.433657676264	green3	2	0.085425	0.53406
MGH36_P1_B06	0.501329066239	green3	2	0.055196	0.4489
MGH36_P1_B07	0.462056735928	green3	2	0.048236	0.53406
MGH36_P1_B08	NA	black	0	0	0.68167
MGH36_P1_B09	NA	black	0	0	0.88284
MGH36_P1_B10	NA	black	0	0	0.58592
MGH36_P1_B11	0.286989824065	green3	2	0.041243	0.85917
MGH36_P1_B12	-0.840801974318	black	0	1.9723	0.73639
MGH36_P1_C01	NA	black	0	0	0.50182
MGH36_P1_C03	-4.22109714696	black	0	4.712	0.39287
MGH36_P1_C05	-2.79474265623	black	0	4.8063	0.77484
MGH36_P1_C06	NA	black	0	0	0.50386
MGH36_P1_C07	NA	black	0	0	0.40817
MGH36_P1_C08	-2.37242160216	black	0	4.9665	0.90689
MGH36_P1_C09	-0.922118469787	black	0	0.029983	2.7
MGH36_P1_C10	0.425051033055	green3	2	0.14143	0.45628
MGH36_P1_C11	-1.17277276156	black	0	0.037031	3.0484
MGH36_P1_D01	NA	black	0	0	0.47508
MGH36_P1_D02	NA	black	0	0	0.23143
MGH36_P1_D03	NA	black	0	0	0.78827
MGH36_P1_D04	NA	black	0	0	0.6663
MGH36_P1_D06	0.277434463456	green3	2	0.10568	0.82049
MGH36_P1_D07	NA	black	0	0	0.36961
MGH36_P1_D08	-0.10637399026	green3	2	0.71105	3.3252
MGH36_P1_D09	0.201790607031	green3	2	0.1865	0.90381
MGH36_P1_D11	0.57643496292	green3	2	0.035624	0.33914
MGH36_P1_F01	0.348748825845	green3	2	0.051024	0.73985
MGH36_P1_F02	6.23390776974	black	0	3.9052	3.5389
MGH36_P1_F03	0.488296271523	green3	2	0.1137	0.36961
MGH36_P1_F04	0.703162644432	green3	2	0.031395	0.10434
MGH36_P1_F05	-2.22196532837	black	0	2.7933	0.34937
MGH36_P1_F06	-0.640720484467	red	1	1.9165	0.8679
MGH36_P1_F08	0.637536149685	green3	2	0.084064	0.11237
MGH36_P1_F11	4.46037393091	black	0	1.9572	5.729
MGH36_P1_F12	0.482058116086	green3	2	0.034216	0.51702
MGH36_P1_G02	2.99593758706	black	0	4.1044	2.3857
MGH36_P1_G03	0.615243749224	green3	2	0.029983	0.2762
MGH36_P1_G04	NA	black	0	0	0.60502
MGH36_P1_G07	NA	black	0	0	0.22033
MGH36_P1_G08	NA	black	0	0	0.32654
MGH36_P1_G09	6.51178545472	black	0	3.5957	3.8759
MGH36_P1_H02	0.525066917054	green3	2	0.02432	0.45312
MGH36_P1_H03	0.651979550997	green3	2	0.02432	0.21785
MGH36_P1_H04	0.289613407242	green3	2	0.038436	0.85679
MGH36_P1_H05	-2.48010233806	black	0	3.1517	0.40381
MGH36_P1_H06	0.425026692923	green3	2	0.049631	0.60122
MGH36_P1_H07	NA	black	0	0	1.2104
MGH36_P1_H09	-0.308589517011	green3	2	1.0349	0.55385
MGH36_P1_H10	0.532252458709	green3	2	0.034216	0.42438
MGH36_P3_A01	0.021273110562	green3	2	0.44361	1.2606
MGH36_P3_A02	-0.53826412668	red	1	3.6239	1.2552
MGH36_P3_A03	0.0555304796753	green3	2	0.81721	1.8687
MGH36_P3_A04	-0.0299986276175	green3	2	1.7916	1.3663
MGH36_P3_A05	NA	black	0	0	0.73118
MGH36_P3_A08	0.0894524387404	green3	2	0.22033	1.1427
MGH36_P3_A09	0.166638337439	green3	2	0.10836	1.0349
MGH36_P3_A10	-0.075097112041	green3	2	0.19156	1.5079
MGH36_P3_A12	-0.0313867544783	green3	2	0.75446	1.0079
MGH36_P3_B02	NA	black	0	0	1.0793
MGH36_P3_B03	NA	black	0	0	0.65168
MGH36_P3_B04	NA	black	0	0	1.0731
MGH36_P3_B09	NA	black	0	0	0.74588
MGH36_P3_B10	NA	black	0	0	1.8532
MGH36_P3_B11	NA	black	0	0	1.3346
MGH36_P3_B12	0.00385584586683	green3	2	0.71458	1.5013
MGH36_P3_C01	0.125950559617	green3	2	0.41468	0.80735
MGH36_P3_C03	NA	black	0	0	0.89608
MGH36_P3_C04	0.227480175628	green3	2	0.077243	0.9396
MGH36_P3_C05	-0.980781831523	black	0	4.0714	1.157
MGH36_P3_C06	-0.26700870068	green3	2	0.98623	0.56169
MGH36_P3_C08	0.154121353634	green3	2	3.1707	1.4977
MGH36_P3_C11	-0.138747523657	green3	2	0.17632	1.6299
MGH36_P3_C12	0.285466343101	green3	2	1.736	1.6781
MGH36_P3_D01	-0.206171593717	green3	2	0.11902	1.7203
MGH36_P3_D02	NA	black	0	0	0.99422
MGH36_P3_D03	NA	black	0	0	1.5632
MGH36_P3_D04	0.259286111321	green3	2	0.10702	0.85519
MGH36_P3_D07	3.32574594287	black	0	2.4095	3.5398
MGH36_P3_D08	0.0769284191432	green3	2	3.7084	1.4746
MGH36_P3_D09	NA	black	0	0	1.3045
MGH36_P3_D11	2.14339850014	black	0	4.2962	2.0895
MGH36_P3_E02	0.056985384246	green3	2	1.1577	1.5023
MGH36_P3_E04	NA	black	0	0	1.4859
MGH36_P3_E05	NA	black	0	0	1.4936
MGH36_P3_E06	NA	black	0	0	0.80818
MGH36_P3_E07	NA	black	0	0	1.4314
MGH36_P3_E08	NA	black	0	0	1.4782
MGH36_P3_E09	NA	black	0	0	1.4351
MGH36_P3_E10	-0.0839523144921	green3	2	0.084064	1.4921
MGH36_P3_E11	NA	black	0	0	1.5821
MGH36_P3_E12	NA	black	0	0	1.7351
MGH36_P3_F01	NA	black	0	0	1.0335
MGH36_P3_F02	4.26651477915	black	0	2.3542	4.3033
MGH36_P3_F05	0.0454302964621	green3	2	0.19409	1.251
MGH36_P3_F06	NA	black	0	0	1.696
MGH36_P3_F07	NA	black	0	0	0.60597
MGH36_P3_F08	-0.879235177656	black	0	3.7083	1.146
MGH36_P3_F09	0.104712795062	green3	2	0.36289	0.98987
MGH36_P3_F10	4.20972415826	black	0	2.4082	4.1577
MGH36_P3_F11	0.156390729626	green3	2	0.12829	1.044
MGH36_P3_F12	NA	black	0	0	2.2045
MGH36_P3_G01	0.0605115270306	green3	2	0.08134	1.24
MGH36_P3_G02	NA	black	0	0	0.96125
