Cell_name	Zvalue	Color	Cluster	ETV5	ICAM1
MGH36_P9_F06	NA	black	0	2.3749	0
MGH36_P5_H04	-0.3641382566	red	1	1.5617	1.8953
MGH53_P1_B03	-0.227711834796	red	1	1.792	1.679
MGH53_P2_D05	-0.0811186407177	red	1	1.3045	1.294
MGH36_P4_G12	NA	black	0	0	4.4968
MGH53_P2_D11	-0.0218905360324	red	1	2.7933	1.6026
MGH53_P4_C02	NA	black	0	0	0.84238
MGH53_P4_F04	2.26924124029	black	0	4.4896	4.2666
MGH36_P3_D10	NA	black	0	0	0.17121
MGH54_P2_F04	0.698465955709	green3	2	3.1564	4.6364
MGH36_P6_A03	-0.0144135955728	red	1	3.2912	0.84559
MGH53_P1_F07	0.546289234582	green3	2	3.5404	2.9144
MGH36_P5_H08	NA	black	0	0	0
MGH54_P2_A04	NA	black	0	0	0
MGH53_P4_E11	0.763550481133	green3	2	0.99132	0.15445
MGH53_P2_G03	NA	black	0	4.1979	0
MGH36_P3_F04	-0.00879116409953	red	1	0.20038	1.2714
MGH54_P2_B02	NA	black	0	1.5797	0
MGH36_P5_C07	NA	black	0	0	6.8425
MGH53_P2_E02	-0.442994285764	red	1	1.76	2.2379
MGH54_P2_F09	NA	black	0	1.6622	0
MGH36_P3_D05	NA	black	0	0	5.4326
MGH36_P5_F12	-4.91828688416	black	0	0.034216	6.9736
MGH53_P2_H09	NA	black	0	4.811	0
MGH54_P2_F07	0.0206934837985	red	1	3.0609	1.3757
MGH36_P5_D10	NA	black	0	0	0
MGH54_P2_F11	NA	black	0	0.93659	0
MGH53_P2_H04	3.34742307369	black	0	4.4183	5.757
MGH36_P6_F09	-0.555412026124	red	1	0.25096	1.8392
MGH36_P9_F05	0.418839839152	red	1	1.2277	0.51197
MGH36_P8_G11	-0.349741605619	red	1	2.3164	6.0371
MGH54_P2_A07	NA	black	0	0	1.8127
MGH36_P7_H06	NA	black	0	0	6.8527
MGH53_P1_A01	NA	black	0	3.7734	0
MGH53_P1_A02	NA	black	0	4.1156	0
MGH54_P2_E07	-2.02075795458	black	0	1.1164	4.9062
MGH53_P4_F07	NA	black	0	0	6.1001
MGH53_P2_C05	-0.834696857935	red	1	2.0419	6.7165
MGH53_P4_H07	NA	black	0	0.17121	0
MGH53_P2_C06	-0.967503049617	red	1	1.9705	6.047
MGH36_P3_F03	0.087288110478	red	1	2.5938	0.43829
MGH36_P2_A10	NA	black	0	0	4.1461
MGH53_P4_E03	0.670834333154	green3	2	3.6728	2.9791
MGH36_P9_D12	NA	black	0	0	5.103
MGH54_P2_H03	NA	black	0	0	0.11636
MGH36_P4_D06	NA	black	0	2.729	0
MGH53_P2_B03	NA	black	0	0	0
MGH53_P4_F03	2.39686762535	black	0	4.5737	4.2887
MGH36_P10_E09	NA	black	0	0	0
MGH53_P1_G02	NA	black	0	0.15704	0
MGH54_P2_A02	-0.431928440687	red	1	2.1635	3.0234
MGH36_P3_A07	-0.0604735763649	red	1	2.5056	1.4526
MGH53_P4_E12	0.64074259449	green3	2	2.9613	5.4271
MGH54_P2_A03	NA	black	0	3.916	0
MGH53_P4_E10	-0.0542976535318	red	1	1.9023	1.2443
