Cell_name	Zvalue	Color	Cluster	PARP1	SH3BP2
MGH93_P7_G06	-0.196708375961	red	1	4.4222	0.20163
MGH93_P7_B04	NA	black	0	1.7163	0
MGH93_P7_F03	NA	black	0	4.47	0
MGH93_P7_B12	NA	black	0	5.2888	0
MGH93_P7_H04	-0.469392148192	red	1	5.114	0.092207
MGH93_P7_A05	NA	black	0	3.4476	0
MGH93_P7_D07	-0.371065442634	red	1	5.4899	0.20289
MGH93_P7_F01	NA	black	0	1.6397	0
MGH93_P7_F05	NA	black	0	2.8844	0
93_P10_H10	NA	black	0	4.2258	0
93_P10_E02	NA	black	0	0	0
93_P9_C04	NA	black	0	0	0
93_P9_A08	NA	black	0	0	0.066261
93_P9_G06	0.316878174035	red	1	1.7172	0.20163
93_P8_F09	-1.06746374681	red	1	2.5044	2.2564
93_P8_G06	NA	black	0	4.2878	0
93_P9_E04	NA	black	0	0	0.29278
93_P10_D06	-0.367983215315	red	1	5.0348	0.15186
93_P9_B07	-7.27549576402	black	0	0.24245	3.5513
93_P9_G08	0.211102472234	red	1	4.1155	0.7476
93_P9_D04	NA	black	0	5.6944	0
93_P8_E07	NA	black	0	4.3036	0
93_P9_H01	NA	black	0	2.0036	0
93_P9_B08	-0.163273685579	red	1	2.2934	0.64062
93_P10_E03	NA	black	0	5.3585	0
93_P8_H09	-0.00325275267999	red	1	3.3457	0.24489
93_P10_B02	NA	black	0	0	0.089498
93_P8_B06	NA	black	0	0	0
93_P10_E05	NA	black	0	0	0.89995
93_P8_E06	NA	black	0	0	1.0108
93_P10_A02	-0.10550130292	red	1	3.93	0.21164
93_P8_B04	NA	black	0	5.0681	0
93_P8_C05	0.0758963353354	red	1	2.9953	0.15316
93_P9_F12	NA	black	0	2.6613	0
93_P10_A01	0.385851315284	red	1	1.4244	0.19661
93_P8_A10	NA	black	0	5.5684	0
93_P9_B06	NA	black	0	6.0396	0
93_P10_D12	0.200568605982	red	1	2.1909	0.2228
93_P8_D04	NA	black	0	0	0
93_P9_B10	NA	black	0	0	0.055196
93_P9_E12	-0.156775058508	red	1	4.6425	0.27501
93_P9_B02	0.509633171906	green3	2	4.8389	0.83026
93_P8_G11	0.348377951573	red	1	1.6717	0.18523
93_P10_H08	NA	black	0	0.8679	0
93_P10_B04	NA	black	0	3.0699	0
93_P9_C12	0.113706211492	red	1	2.9598	0.05797
93_P8_D11	2.25354478391	black	0	5.1371	1.8992
93_P8_A03	-0.131159379469	red	1	4.1761	0.23511
93_P9_F02	NA	black	0	0	0.62012
93_P10_F03	NA	black	0	4.5812	0
93_P9_G11	0.195776828185	red	1	2.6674	0.073135
93_P8_B09	-0.168912199425	red	1	4.4332	0.23511
93_P9_E05	NA	black	0	0.22651	0
93_P8_E09	0.172387780377	red	1	2.7321	0.08134
93_P8_G03	NA	black	0	4.3912	0
93_P9_C10	0.760138466586	green3	2	0.61824	0.10702
93_P8_D06	-0.0379406163326	red	1	3.7841	0.32769
93_P8_C06	-0.0228149488929	red	1	3.8866	0.37851
93_P10_C01	NA	black	0	2.3738	0
93_P8_A05	NA	black	0	0	0
93_P8_C11	0.0364542937518	red	1	4.4709	0.46258
93_P8_E08	NA	black	0	5.7366	0
93_P8_G12	NA	black	0	0	0
93_P9_D09	-0.371580721877	red	1	4.9848	0.14143
93_P8_D05	-0.131168309475	red	1	3.8176	0.094912
93_P9_F04	NA	black	0	0	0.19912
93_P10_H12	NA	black	0	4.3308	0
93_P9_H09	-0.51496804931	red	1	5.1455	0.066261
93_P10_E06	NA	black	0	0	0
93_P10_D07	NA	black	0	4.0907	0
93_P8_G05	-0.485091246078	red	1	5.6808	0.15834
93_P9_A03	NA	black	0	0	0.44996
93_P10_E10	NA	black	0	3.8211	0
93_P10_G11	-0.0572632149372	red	1	3.5159	0.042644
93_P10_F08	NA	black	0	0	0.1137
93_P8_F07	NA	black	0	5.1213	0
93_P10_E01	NA	black	0	2.9036	0
93_P9_E07	-0.269570119097	red	1	5.3245	0.24975
93_P9_E03	NA	black	0	5.6323	0
93_P9_D12	0.275870059809	red	1	2.5489	0.0043216
93_P8_E03	NA	black	0	5.2937	0
93_P10_E12	NA	black	0	0	0.055196
93_P8_F11	0.374204259184	red	1	1.547	0.1865
93_P9_B03	-0.0193327938039	red	1	2.9771	0.50691
93_P9_H10	NA	black	0	3.9474	0
93_P10_E04	-0.183870044419	red	1	4.4967	0.22897
93_P8_A07	0.042600392788	red	1	3.4605	0.76214
93_P8_F08	NA	black	0	0.84559	0
93_P10_C11	NA	black	0	0	0.36849
93_P10_H07	NA	black	0	0	0.092207
93_P9_E02	NA	black	0	0	1.4688
93_P10_H05	NA	black	0	0.83915	0
93_P9_B11	0.0305619038978	red	1	3.1857	0.16736
93_P9_G10	0.145348041814	red	1	2.1276	0.2916
93_P10_F05	NA	black	0	0	0
93_P9_F10	NA	black	0	0	0.064883
93_P9_A02	-0.20164628164	red	1	4.3331	0.17632
93_P8_D10	-0.294977349834	red	1	5.3238	0.23389
93_P10_G04	-0.160535086963	red	1	4.199	0.19787
93_P10_C05	NA	black	0	0	0
93_P8_C07	NA	black	0	0	0
93_P9_E06	NA	black	0	0	0
93_P8_B11	NA	black	0	4.7592	0
93_P10_H01	NA	black	0	3.5382	0
93_P8_H05	NA	black	0	4.4239	0
93_P9_B09	-0.0666340696374	red	1	3.5327	0.014355
93_P8_H07	NA	black	0	5.5934	0
93_P10_C10	NA	black	0	2.8172	0
93_P8_D12	-0.72769395612	red	1	6.0341	0.077243
93_P8_C03	NA	black	0	4.7916	0
93_P10_C03	NA	black	0	0	0.10299
93_P8_D08	0.00970500480448	red	1	4.1536	0.44042
93_P8_E10	NA	black	0	4.7312	0
93_P10_A12	0.767569760389	green3	2	0.17887	0.15575
93_P10_F10	-0.369330613728	red	1	4.6587	0.077243
93_P9_F07	0.0888036371841	red	1	4.9383	0.48749
93_P8_B03	NA	black	0	4.6002	0
93_P9_G05	NA	black	0	0	0.1177
93_P10_A05	NA	black	0	0.94336	0
93_P9_C06	-0.625989563704	red	1	5.5214	0.060739
93_P8_A02	NA	black	0	4.3403	0
93_P8_F01	NA	black	0	0	0
93_P8_G04	NA	black	0	0	0
