Cell_name	Zvalue	Color	Cluster	CTNNB1	NELFCD
MGH53_P4_A09	NA	black	0	3.333	0
MGH53_P2_H08	NA	black	0	1.3283	0
MGH36_P4_A09	NA	black	0	0.37851	0
MGH53_P4_C08	0.85007086647	green3	2	1.9343	2.6886
MGH36_P5_E04	NA	black	0	5.5188	0
MGH53_P2_A07	NA	black	0	0	0.49774
MGH54_P2_G10	NA	black	0	5.2476	0
MGH36_P7_E06	NA	black	0	5.043	0
MGH36_P9_D04	0.152503151719	green3	2	3.0004	3.4214
MGH53_P1_C12	NA	black	0	5.0796	0
MGH36_P8_F06	0.00404504856925	green3	2	3.7639	3.7634
MGH36_P1_G11	-0.13133228396	green3	2	4.1943	3.05
MGH53_P1_F02	NA	black	0	3.4892	0
MGH54_P2_D10	NA	black	0	4.606	0
MGH36_P9_A08	NA	black	0	2.9054	0
MGH53_P2_H03	NA	black	0	6.2459	0
MGH53_P4_B03	NA	black	0	3.1557	0
MGH53_P1_F10	NA	black	0	5.0891	0
MGH53_P4_B05	NA	black	0	3.6527	0
MGH53_P2_B08	NA	black	0	2.2878	0
MGH36_P3_B06	-0.827739876518	green3	2	2.5864	5.5741
MGH36_P10_C02	NA	black	0	6.3459	0
MGH36_P2_E05	NA	black	0	5.3991	0
MGH54_P2_G09	NA	black	0	3.2702	0
MGH54_P2_D12	NA	black	0	5.1907	0
MGH53_P2_H02	-0.0839837801315	green3	2	3.9775	2.6978
MGH36_P8_F11	0.861942661894	green3	2	2.972	1.0398
MGH53_P2_A10	NA	black	0	1.4297	0
MGH54_P2_E09	3.41748026792	black	0	0.52005	1.0793
MGH36_P3_H06	0.116628100976	green3	2	4.22	4.7726
MGH36_P5_D05	NA	black	0	4.8768	0
MGH54_P2_A11	NA	black	0	1.9065	0
MGH54_P2_G04	NA	black	0	2.538	0
MGH36_P6_C01	NA	black	0	3.7414	0
MGH53_P2_E06	NA	black	0	0.37518	0
MGH53_P1_E01	NA	black	0	0	0
MGH36_P1_B01	NA	black	0	4.8469	0
MGH54_P2_H04	NA	black	0	4.9905	0
MGH36_P2_C05	NA	black	0	3.7973	0
MGH36_P6_H05	NA	black	0	5.994	0
MGH36_P10_E06	-2.39504129462	black	0	6.1096	1.3237
MGH54_P2_F03	NA	black	0	5.3855	0
MGH36_P4_B10	NA	black	0	1.7958	0
MGH54_P2_F02	0.63240783613	green3	2	2.6196	2.4924
MGH36_P2_E11	-2.3820718178	black	0	5.5639	0.55483
MGH54_P2_D11	NA	black	0	2.7596	0
MGH54_P2_G01	NA	black	0	6.3288	0
MGH36_P9_D02	NA	black	0	4.255	0
MGH54_P2_E06	-0.0455990148989	green3	2	3.899	2.7201
MGH54_P16_F12	3.0882913635	black	0	1.4957	0.26303
MGH53_P5_C12	NA	black	0	0	0
MGH54_P12_C10	-0.146780721018	green3	2	3.4606	4.8872
MGH54_P16_F02	NA	black	0	4.3938	0
MGH54_P11_C11	NA	black	0	2.2314	0
MGH53_P1_E03	NA	black	0	3.8583	0
MGH54_P15_D06	NA	black	0	2.9568	0
MGH54_P14_F05	1.51852632968	green3	2	5.5664	6.3512
MGH54_P16_A03	-0.150240534325	green3	2	5.0782	3.6518
MGH53_P4_G11	NA	black	0	1.0594	0
MGH53_P7_B09	NA	black	0	2.1865	0
MGH54_P17_D11	NA	black	0	5.38	0
MGH54_P10_G04	-0.461156567832	green3	2	3.1124	5.4946
MGH54_P10_C06	NA	black	0	2.5082	0
MGH53_P2_A02	NA	black	0	0.16221	0
MGH53_P4_F06	NA	black	0	4.9312	0
MGH53_P7_F07	0.0462566750179	green3	2	3.954	5.352
MGH53_P11_F06	-1.32030282647	red	1	1.4228	5.2755
MGH53_P5_G02	NA	black	0	0	0
MGH53_P1_F09	NA	black	0	1.6489	0
MGH53_P11_H03	0.704632184346	green3	2	4.8606	5.8378
MGH53_P10_D11	-0.270930897763	green3	2	3.5339	5.9423
MGH53_P1_A10	NA	black	0	5.9997	0
MGH53_P4_B12	NA	black	0	0	0
MGH53_P5_H09	NA	black	0	0	4.5227
MGH53_P9_D07	NA	black	0	5.884	0
MGH53_P11_E03	NA	black	0	5.4745	0
MGH53_P1_C02	NA	black	0	6.0955	0
MGH53_P10_F11	2.44483734465	black	0	1.4201	1.1329
MGH53_P1_E02	NA	black	0	4.807	0
MGH53_P1_D07	NA	black	0	5.7189	0
MGH53_P6_B01	NA	black	0	4.4319	0
MGH53_P2_G04	-0.00774336082597	green3	2	5.3459	3.9587
MGH53_P1_C05	NA	black	0	4.323	0
MGH53_P2_G09	NA	black	0	5.0942	0
MGH53_P5_A05	NA	black	0	6.0712	0
MGH53_P5_F04	NA	black	0	1.2672	0
MGH53_P10_H03	NA	black	0	1.5286	0
MGH53_P11_F08	NA	black	0	6.5101	0
MGH54_P7_F12	NA	black	0	5.3108	0
MGH53_P8_F03	NA	black	0	3.3193	0
MGH53_P11_A07	NA	black	0	2.2813	0
MGH53_P6_B11	NA	black	0	2.9795	0
MGH53_P4_C07	NA	black	0	0	0
MGH53_P6_H06	-0.78883003167	green3	2	5.6939	2.891
MGH36_P1_A01	NA	black	0	3.5105	0
MGH36_P1_A02	-1.01513928201	green3	2	5.1675	2.0517
MGH36_P1_A03	-0.247026003835	green3	2	3.5237	5.7381
MGH36_P1_A04	1.20247840367	green3	2	5.7499	5.6599
MGH36_P1_A05	NA	black	0	5.5189	0
MGH36_P1_A06	-1.27428864732	red	1	4.9551	1.1738
MGH36_P1_A08	0.0219180099765	green3	2	3.7408	1.2135
MGH36_P1_A10	0.213756301983	green3	2	6.2425	4.229
MGH36_P1_A12	NA	black	0	5.2431	0
MGH36_P1_B02	NA	black	0	1.2314	0
MGH36_P1_B03	-0.841226186513	green3	2	5.7681	2.8649
MGH36_P1_B04	NA	black	0	4.0875	0
MGH36_P1_B06	0.0711567825941	green3	2	4.2363	4.4158
MGH36_P1_B07	NA	black	0	2.1519	0
MGH36_P1_B08	-0.394477762043	green3	2	4.6688	2.7655
MGH36_P1_B09	-1.08295615495	green3	2	4.7473	1.0936
MGH36_P1_B10	-0.0373183717653	green3	2	4.469	3.7959
MGH36_P1_B11	NA	black	0	4.1402	0
MGH36_P1_B12	0.0854668744033	green3	2	5.6715	4.1026
MGH36_P1_C01	NA	black	0	0	0
MGH36_P1_C03	-2.20023258974	black	0	5.4248	0.5509
MGH36_P1_C05	NA	black	0	2.9328	0
MGH36_P1_C06	0.285752697739	green3	2	5.0344	4.5929
MGH36_P1_C07	NA	black	0	5.682	0
MGH36_P1_C08	0.163799709998	green3	2	1.7128	3.6699
MGH36_P1_C09	-0.383462738899	green3	2	4.1833	1.5185
MGH36_P1_C10	-0.275383591007	green3	2	4.6719	3.1185
MGH36_P1_C11	NA	black	0	3.1882	0
MGH36_P1_D01	-0.515543837044	green3	2	3.0649	5.5719
MGH36_P1_D02	-2.60429380786	black	0	5.7141	0.52607
MGH36_P1_D03	0.0522413840716	green3	2	4.1271	4.4216
MGH36_P1_D04	-0.0660740008314	green3	2	5.1131	3.8313
MGH36_P1_D06	NA	black	0	4.7045	0
MGH36_P1_D07	-1.099697953	green3	2	5.9592	2.6592
MGH36_P1_D08	0.743135966237	green3	2	5.1807	5.4495
MGH36_P1_D09	NA	black	0	0	3.7815
MGH36_P1_D11	NA	black	0	2.6724	0
MGH36_P1_F01	NA	black	0	3.9234	0
MGH36_P1_F02	-0.698138527861	green3	2	4.3434	0.85679
MGH36_P1_F03	0.0894790300035	green3	2	4.5069	4.3001
MGH36_P1_F04	NA	black	0	2.0032	0
MGH36_P1_F05	NA	black	0	5.0046	0
MGH36_P1_F06	-0.0383136702452	green3	2	2.5739	3.9754
MGH36_P1_F08	NA	black	0	6.5264	0
MGH36_P1_F11	NA	black	0	0	0
MGH36_P1_F12	NA	black	0	4.8099	0
MGH36_P1_G02	0.360455170338	green3	2	6.1845	4.3973
MGH36_P1_G03	-0.0270365697173	green3	2	3.668	4.3305
MGH36_P1_G04	NA	black	0	1.5356	0
MGH36_P1_G07	NA	black	0	4.4282	0
MGH36_P1_G08	-0.151453025624	green3	2	5.2984	3.7022
MGH36_P1_G09	NA	black	0	1.7908	0
MGH36_P1_H02	NA	black	0	6.0373	0
MGH36_P1_H03	NA	black	0	2.8115	0
MGH36_P1_H04	-2.05138519067	black	0	5.9778	1.5607
MGH36_P1_H05	NA	black	0	5.1003	0
MGH36_P1_H06	-1.40968364669	red	1	4.8033	0.48233
MGH36_P1_H07	-0.99713503997	green3	2	5.9929	2.8007
MGH36_P1_H09	3.02659009416	black	0	1.044	0.93433
MGH36_P1_H10	NA	black	0	4.617	0
MGH36_P3_A01	0.561350049634	green3	2	2.8139	2.4052
MGH36_P3_A02	NA	black	0	0	5.4366
MGH36_P3_A03	NA	black	0	0.6951	0
MGH36_P3_A04	NA	black	0	2.4041	0
MGH36_P3_A05	2.40435105042	black	0	1.4735	1.1164
MGH36_P3_A08	NA	black	0	1.7583	0
