Cell_name	Zvalue	Color	Cluster	POU5F1	THY1
MGH36_P7_B03	1.05966695379	cyan	4	2.1957	6.011
MGH36_P7_B04	0.0199948919338	green3	2	1.3802	4.1167
MGH36_P7_B06	0.100833515422	green3	2	1.7355	5.1374
MGH36_P7_B07	-0.164766190219	green3	2	0.81311	5.137
MGH36_P7_B08	NA	black	0	0.66175	0
MGH36_P7_B09	0.107483706309	green3	2	1.2636	4.2219
MGH36_P7_B10	-0.203266946032	green3	2	1.281	6.4167
MGH36_P7_B11	NA	black	0	1.1532	0
MGH36_P7_B12	0.184211542868	green3	2	1.5455	5.9461
MGH36_P7_C11	-0.22055902864	green3	2	1.051	5.4369
MGH36_P7_D01	0.0356224542996	green3	2	1.4071	0.4957
MGH36_P7_D02	-0.429958657274	green3	2	1.2091	6.89
MGH36_P7_D03	NA	black	0	1.2702	0
MGH36_P7_D05	0.101358757339	green3	2	1.1616	4.5264
MGH36_P7_D06	NA	black	0	1.3167	0
MGH36_P7_D07	-1.09430704173	red	1	0.89763	6.7881
MGH36_P7_D08	NA	black	0	0.53506	0
MGH36_P7_D09	-1.60331394508	black	0	0.31499	6.1786
MGH36_P7_D10	-0.718276107325	green3	2	0.7941	5.9196
MGH36_P7_D11	NA	black	0	2.1515	0
MGH36_P7_E01	NA	black	0	1.159	0
MGH36_P7_E03	1.44493844868	black	0	2.3646	6.1509
MGH36_P7_E04	-0.284419539	green3	2	0.18142	5.107
MGH36_P7_E05	NA	black	0	1.2522	0
MGH36_P7_E07	0.0251394862205	green3	2	0.89453	4.8515
MGH36_P7_E08	NA	black	0	1.5003	0
MGH36_P7_E10	-0.745743616596	green3	2	1.1184	7.2271
MGH36_P7_E12	NA	black	0	0.25096	0
MGH36_P7_F01	NA	black	0	1.5912	0
MGH36_P7_F02	NA	black	0	1.5646	0
MGH36_P7_F03	-0.304554584524	green3	2	1.0079	5.5629
MGH36_P7_F04	-3.1653213665	black	0	2.229	1.5455
MGH36_P7_F06	-0.767485315314	green3	2	1.0607	6.8711
MGH36_P7_F08	0.426751991087	green3	2	0.68706	4.3848
MGH36_P7_F09	-0.15335505695	green3	2	0.86473	5.1411
MGH36_P7_F10	0.199638859151	green3	2	0.71458	4.6474
MGH36_P7_F11	2.18426212899	black	0	1.0158	0.18523
MGH36_P7_F12	-0.670222305152	green3	2	1.0426	6.5261
MGH36_P7_G01	-0.686816015895	green3	2	1.115	7.0107
MGH36_P7_G02	NA	black	0	0.89375	0
MGH36_P7_G03	0.439057202103	green3	2	1.2247	2.816
MGH36_P7_G04	0.605547771464	green3	2	2.158	5.557
MGH36_P7_G05	NA	black	0	0	6.7399
MGH36_P7_G06	-0.275481973445	green3	2	0.95084	5.4219
MGH36_P7_G08	0.35471893895	green3	2	1.5306	7.0979
MGH36_P7_G09	NA	black	0	1.2222	0
MGH36_P7_G10	0.0225923492383	green3	2	1.8548	4.9205
MGH36_P7_G11	-0.355634402608	green3	2	1.1237	6.01
MGH36_P7_H01	0.304862453687	green3	2	1.6745	5.8246
MGH36_P7_H02	0.385969547887	green3	2	0.8536	4.2904
MGH36_P7_H03	0.518393621398	green3	2	1.7583	6.1089
MGH36_P7_H04	0.22696743268	green3	2	0.92372	4.4856
MGH36_P7_H07	-0.0370573459409	green3	2	1.3635	5.8353
MGH36_P7_H08	0.867303585188	cyan	4	2.3386	5.6614
MGH36_P7_H10	NA	black	0	1.1329	0
MGH36_P7_H11	-0.0208162226362	green3	2	1.2588	5.0149
MGH36_P7_H12	NA	black	0	1.2394	0
MGH36_P5_A02	1.73347468272	black	0	2.8742	5.8692
MGH36_P5_A03	0.390505274297	green3	2	1.5782	6.706
MGH36_P5_A05	1.01666571475	cyan	4	2.5253	5.6411
MGH36_P5_A06	NA	black	0	0	0
MGH36_P5_A07	-4.00760723096	black	0	2.1622	0.25822
MGH36_P5_A08	1.13613534132	cyan	4	1.0813	1.9165
MGH36_P5_A09	-0.441494618167	green3	2	1.4983	0.34937
MGH36_P5_B02	-0.0252144305486	green3	2	1.4834	4.6217
MGH36_P5_B03	-0.190664540321	green3	2	1.0391	5.3472
MGH36_P5_B04	0.406782399401	green3	2	1.9899	5.466
MGH36_P5_B05	NA	black	0	2.3121	0
MGH36_P5_B06	0.0890098576755	green3	2	1.5346	5.444
MGH36_P5_B07	NA	black	0	1.4174	0
MGH36_P5_B08	NA	black	0	2.4103	0
MGH36_P5_B09	0.0231624946088	green3	2	1.0144	4.8406
MGH36_P5_B10	NA	black	0	0.6107	0
MGH36_P5_B11	0.0578231900152	green3	2	1.5013	5.367
MGH36_P5_C01	-0.500184808952	green3	2	2.34	4.4117
MGH36_P5_C02	NA	black	0	1.6192	0
MGH36_P5_C03	0.70764855176	green3	2	1.8189	6.314
MGH36_P5_C04	0.0697269792056	green3	2	1.4647	5.772
MGH36_P5_C05	-2.07562790735	black	0	1.8135	0.4049
MGH36_P5_C06	NA	black	0	1.6911	0
MGH36_P5_C09	-0.329415224348	green3	2	0.90843	5.4716
MGH36_P5_C11	NA	black	0	1.8758	0
MGH36_P5_C12	NA	black	0	1.7895	0
MGH36_P5_D01	NA	black	0	2.3782	0
MGH36_P5_D02	-2.54777126587	black	0	1.8797	0.15834
MGH36_P5_D03	-0.11505885226	green3	2	1.5854	4.3443
MGH36_P5_D04	0.0218085045042	green3	2	1.4531	5.2306
MGH36_P5_D06	-0.0165378458485	green3	2	1.516	4.7607
MGH36_P5_D07	0.305267566264	green3	2	2.3176	5.1555
MGH36_P5_D08	0.111291705102	green3	2	1.2135	4.3809
MGH36_P5_D09	1.71312941002	black	0	0.53107	3.2169
MGH36_P5_D11	0.714191547596	green3	2	1.6498	7.2657
MGH36_P5_D12	NA	black	0	1.6369	0
MGH36_P5_E01	NA	black	0	3.2502	0
MGH36_P5_E02	-0.0835431317993	green3	2	1.5743	4.4677
MGH36_P5_E03	0.212297424262	green3	2	1.547	6.0922
MGH36_P5_E05	NA	black	0	1.4834	0
MGH36_P5_E07	0.235523079675	green3	2	1.8061	5.3749
MGH36_P5_E08	NA	black	0	2.3904	0
MGH36_P5_E09	NA	black	0	1.9638	0
MGH36_P5_E10	0.0118766661492	green3	2	1.3499	4.6857
MGH36_P5_E11	NA	black	0	1.7294	0
MGH36_P5_F02	-0.186418509361	green3	2	1.3121	6.8471
MGH36_P5_F04	NA	black	0	1.5241	0
MGH36_P5_F05	NA	black	0	1.5993	0
MGH36_P5_F06	NA	black	0	2.1306	0
MGH36_P5_F07	-1.19821142516	red	1	1.8041	2.2768
MGH36_P5_F08	NA	black	0	1.9199	0
MGH36_P5_F09	NA	black	0	2.286	0
MGH36_P5_F10	NA	black	0	6.0627	0
MGH36_P5_F11	-0.121530819744	green3	2	1.1223	5.2677
MGH36_P5_G01	0.558952956511	green3	2	1.6713	6.6157
MGH36_P5_G02	-0.764852407964	green3	2	0.22157	5.4642
MGH36_P5_G04	-0.0686006907096	green3	2	1.3132	5.5831
MGH36_P5_G06	0.739421831521	green3	2	1.2528	0.91303
MGH36_P5_G07	0.859543955262	green3	2	1.9561	6.194
MGH36_P5_G08	0.319268061347	green3	2	2.3394	5.1613
MGH36_P5_G09	-0.00921205598904	green3	2	1.3857	5.5284
MGH36_P5_G10	0.626555314603	green3	2	1.8536	6.0547
MGH36_P5_G11	0.258511267819	green3	2	1.6508	5.757
MGH36_P5_H02	-0.0549188304423	green3	2	1.1512	5.0798
MGH36_P5_H03	0.0579917941081	green3	2	1.7485	5.0224
MGH36_P5_H05	-5.10289791114	black	0	2.4095	0.45628
MGH36_P5_H06	NA	black	0	1.8584	0
MGH36_P5_H07	NA	black	0	1.6281	0
MGH36_P5_H09	-0.144567250092	green3	2	0.9222	5.154
