Cell_name	Zvalue	Color	Cluster	POU2AF1	POU2F1
MGH36_P8_F06	0.686156015157	green3	2	0.16607	0.042644
MGH36_P1_G11	1.10164131856	green3	2	0.02148	0.0043216
MGH53_P1_F02	NA	black	0	0.68796	0
MGH54_P2_D10	0.69999577377	green3	2	0.15445	0.067639
MGH36_P9_A08	NA	black	0	0.86552	0
MGH53_P2_H03	0.406369977194	green3	2	0.26544	0.075875
MGH53_P4_B03	-0.216038746222	green3	2	0.49262	0.05797
MGH53_P1_F10	NA	black	0	0	0.037031
MGH53_P4_B05	NA	black	0	0	0.048236
MGH53_P2_B08	0.27217596578	green3	2	0.31499	0.086784
MGH36_P3_B06	NA	black	0	0	1.4212
MGH36_P10_C02	NA	black	0	0	0
MGH36_P2_E05	0.824982215144	green3	2	0.11503	0.037031
MGH54_P2_G09	NA	black	0	0.30685	0
MGH54_P2_D12	NA	black	0	0	0.028569
MGH53_P2_H02	0.484657280882	green3	2	0.24123	0.042644
MGH36_P8_F11	0.0239723207635	green3	2	0.26183	1.0122
MGH53_P2_A10	NA	black	0	0	0.69064
MGH54_P2_E09	NA	black	0	0.12829	0
MGH36_P3_H06	-0.180703185013	green3	2	0.4782	0.029983
MGH36_P5_D05	0.328062335459	green3	2	0.301	0.018634
MGH54_P2_A11	0.223995426852	green3	2	0.33685	0.032806
MGH54_P2_G04	NA	black	0	0.19409	0
MGH36_P6_C01	-1.26467397039	green3	2	0.83592	0.035624
MGH53_P2_E06	NA	black	0	0	0
MGH53_P1_E01	-0.0253159950193	green3	2	0.41251	1.5135
MGH36_P1_B01	0.477454042244	green3	2	0.21164	0.20789
MGH54_P2_H04	0.278139594915	green3	2	0.31499	0.062122
MGH36_P2_C05	NA	black	0	0	0.017209
MGH36_P6_H05	NA	black	0	0.31267	0
MGH36_P10_E06	NA	black	0	0	1.6406
MGH54_P2_F03	NA	black	0	0	1.6897
MGH36_P4_B10	NA	black	0	0.31615	0
MGH54_P2_F02	NA	black	0	0	0
MGH36_P2_E11	0.0250994926732	green3	2	0.40708	0.037031
MGH54_P2_D11	0.719164757923	green3	2	0.15575	0.034216
MGH54_P2_G01	NA	black	0	0	0.056584
MGH36_P9_D02	NA	black	0	0.26424	0
MGH54_P2_E06	NA	black	0	0.1635	0
MGH54_P16_F12	NA	black	0	0	1.3516
MGH53_P5_C12	NA	black	0	0	0
MGH54_P12_C10	NA	black	0	0	0.14535
MGH54_P16_F02	NA	black	0	0	1.8777
MGH54_P11_C11	NA	black	0	0	0.055196
MGH53_P1_E03	NA	black	0	0	0.053806
MGH54_P15_D06	NA	black	0	0	0
MGH54_P14_F05	NA	black	0	0	0
MGH54_P16_A03	0.152788502958	green3	2	0.36065	0.069015
MGH53_P4_G11	NA	black	0	0	0.029983
MGH53_P7_B09	NA	black	0	0	2.2934
MGH54_P17_D11	-0.0830648567223	green3	2	0.44573	0.05797
MGH54_P10_G04	NA	black	0	0	0
MGH54_P10_C06	NA	black	0	0	0.05797
MGH53_P2_A02	0.64407148699	green3	2	0.17377	0.077243
MGH53_P4_F06	2.4035849646	black	0	3.4953	1.7941
MGH53_P7_F07	NA	black	0	0	0.24367
MGH53_P11_F06	NA	black	0	0	0
MGH53_P5_G02	NA	black	0	0	0
MGH53_P1_F09	0.589630892901	green3	2	0.18396	0.12433
MGH53_P11_H03	NA	black	0	0	0.073135
MGH53_P10_D11	NA	black	0	0.42008	0
MGH53_P1_A10	0.675165493265	green3	2	0.17121	0.038436
MGH53_P4_B12	NA	black	0	0	0
MGH53_P5_H09	NA	black	0	0	0
MGH53_P9_D07	NA	black	0	0.93055	0
MGH53_P11_E03	NA	black	0	0	0.43082
MGH53_P1_C02	0.362235370319	green3	2	0.28333	0.066261
MGH53_P10_F11	NA	black	0	0	1.0426
MGH53_P1_E02	NA	black	0	0	0.22404
MGH53_P1_D07	NA	black	0	0	2.5497
MGH53_P6_B01	NA	black	0	0	0
MGH53_P2_G04	NA	black	0	0.18015	0
MGH53_P1_C05	NA	black	0	0.40926	0
MGH53_P2_G09	NA	black	0	0.25701	0
MGH53_P5_A05	NA	black	0	0	0.64524
MGH53_P5_F04	NA	black	0	0	0
MGH53_P10_H03	0.692499061131	green3	2	0.16607	0.032806
MGH53_P11_F08	NA	black	0	0.23389	0
MGH54_P7_F12	0.46960141195	green3	2	0.21039	0.22774
MGH53_P8_F03	NA	black	0	0	0.34028
MGH53_P11_A07	NA	black	0	0	0
MGH53_P6_B11	0.0906399358524	green3	2	0.38073	0.17887
MGH53_P4_C07	NA	black	0	0.22774	0
MGH53_P6_H06	NA	black	0	0	0
MGH36_P1_A01	0.826720503913	green3	2	0.1177	0.025738
MGH36_P1_A02	NA	black	0	0	0
MGH36_P1_A03	-0.840126759712	green3	2	0.090853	1.9283
MGH36_P1_A04	-0.00643983182011	green3	2	0.39944	1.1616
MGH36_P1_A05	-0.402178101644	green3	2	0.12035	1.517
MGH36_P1_A06	0.307460907214	green3	2	0.19283	0.56365
MGH36_P1_A08	-0.145777755824	green3	2	0.24853	1.355
MGH36_P1_A10	NA	black	0	0	2.3967
MGH36_P1_A12	0.775419137554	green3	2	0.10568	0.12829
MGH36_P1_B02	NA	black	0	0	2.4526
MGH36_P1_B03	NA	black	0	0	1.9486
MGH36_P1_B04	-0.682667626868	green3	2	0.25459	2.3821
MGH36_P1_B06	NA	black	0	0	0.21785
MGH36_P1_B07	0.532062279303	green3	2	0.11503	0.4049
MGH36_P1_B08	-1.71253031863	black	0	0.092207	2.8018
MGH36_P1_B09	0.853255409696	green3	2	0.1003	0.049631
MGH36_P1_B10	NA	black	0	0	1.2606
MGH36_P1_B11	0.206819735019	green3	2	0.123	0.79494
MGH36_P1_B12	0.492159548584	green3	2	0.049631	0.5509
MGH36_P1_C01	NA	black	0	0.085425	0
MGH36_P1_C03	-0.855455517423	green3	2	0.16479	2.1843
MGH36_P1_C05	0.704272214952	green3	2	0.1003	0.22897
MGH36_P1_C06	NA	black	0	0.062122	0
MGH36_P1_C07	NA	black	0	0	0
MGH36_P1_C08	0.300544431191	green3	2	0.30685	0.060739
MGH36_P1_C09	0.677468323564	green3	2	0.12961	0.18269
MGH36_P1_C10	0.240959220717	green3	2	0.20789	0.64708
MGH36_P1_C11	0.789988165288	green3	2	0.13225	0.0229
MGH36_P1_D01	NA	black	0	0	0.61447
MGH36_P1_D02	0.129724962788	green3	2	0.22157	0.82619
MGH36_P1_D03	NA	black	0	0	0
MGH36_P1_D04	NA	black	0	0	2.4177
MGH36_P1_D06	NA	black	0	0	0.45943
MGH36_P1_D07	0.536388502046	green3	2	0.22157	0.045443
MGH36_P1_D08	NA	black	0	0	1.7035
MGH36_P1_D09	-2.48205406483	black	0	0.1635	4.0742
MGH36_P1_D11	-0.225914052277	green3	2	0.12433	1.3167
MGH36_P1_F01	0.427088087902	green3	2	0.25942	0.063503
MGH36_P1_F02	-0.482668462132	green3	2	0.018634	1.46
MGH36_P1_F03	0.338794121245	green3	2	0.29748	0.015783
MGH36_P1_F04	NA	black	0	0.060739	0
MGH36_P1_F05	-0.394938494945	green3	2	0.042644	1.4076
MGH36_P1_F06	NA	black	0	0	0
MGH36_P1_F08	NA	black	0	0	1.2351
MGH36_P1_F11	-0.731935591775	green3	2	5.3714	1.6767
MGH36_P1_F12	0.465310838448	green3	2	0.029983	0.59837
MGH36_P1_G02	NA	black	0	0	0
MGH36_P1_G03	NA	black	0	0	1.2957
MGH36_P1_G04	0.242703992301	green3	2	0.15316	0.72159
MGH36_P1_G07	NA	black	0	0.10568	0
MGH36_P1_G08	NA	black	0	0	0.88596
MGH36_P1_G09	-1.30492690562	red	1	0.051024	2.2594
MGH36_P1_H02	NA	black	0	0	0.012926
MGH36_P1_H03	NA	black	0	0.055196	0
MGH36_P1_H04	-0.408071932164	green3	2	0.22651	1.7715
MGH36_P1_H05	-0.608809520108	green3	2	0.042644	1.6055
MGH36_P1_H06	-1.12446926028	green3	2	0.077243	2.1725
MGH36_P1_H07	-2.0616109754	black	0	0.055196	2.9486
MGH36_P1_H09	NA	black	0	0	0.95084
MGH36_P1_H10	NA	black	0	0.059355	0
MGH36_P3_A01	NA	black	0	0	1.3294
MGH36_P3_A02	NA	black	0	0	3.6792
MGH36_P3_A03	NA	black	0	0	0
MGH36_P3_A04	NA	black	0	0.52507	0
MGH36_P3_A05	NA	black	0	0.37629	0
MGH36_P3_A08	0.330005070463	green3	2	0.55974	2.1359
MGH36_P3_A09	NA	black	0	0	1.1814
MGH36_P3_A10	0.0256344099408	green3	2	0.45101	1.816
MGH36_P3_A12	0.261657455859	green3	2	0.32308	0.037031
MGH36_P3_B02	NA	black	0	0	1.6327
MGH36_P3_B03	NA	black	0	0	1.2035
MGH36_P3_B04	-0.831468823448	green3	2	0.70044	0.049631
MGH36_P3_B09	NA	black	0	0.40708	0
MGH36_P3_B10	NA	black	0	0	3.7282
MGH36_P3_B11	-0.969884614582	green3	2	1.0587	0.61164
MGH36_P3_B12	-0.0801717565337	green3	2	0.46676	0.4489
MGH36_P3_C01	NA	black	0	0	2.3707
MGH36_P3_C03	-0.291058378564	green3	2	0.51702	0.041243
MGH36_P3_C04	0.107169997499	green3	2	0.47716	2.2711
MGH36_P3_C05	0.0128746879009	green3	2	0.25459	1.037
MGH36_P3_C06	0.716092999528	green3	2	0.14405	0.082703
MGH36_P3_C08	NA	black	0	0.24001	0
MGH36_P3_C11	NA	black	0	0.45418	0
MGH36_P3_C12	2.38745663702	black	0	0.87892	3.2248
MGH36_P3_D01	-0.845480778786	green3	2	0.73118	0.13881
MGH36_P3_D02	1.48053698726	black	0	0.94935	2.2345
MGH36_P3_D03	0.777517174565	green3	2	1.5296	1.4983
MGH36_P3_D04	-0.696160754937	green3	2	0.68257	0.15704
MGH36_P3_D07	NA	black	0	0.53207	0
MGH36_P3_D08	NA	black	0	0	0
MGH36_P3_D09	0.402507024848	green3	2	0.27143	0.042644
MGH36_P3_D11	NA	black	0	0.21039	0
MGH36_P3_E02	NA	black	0	0.44255	0
MGH36_P3_E04	NA	black	0	0.39835	0
MGH36_P3_E05	-0.153691119936	green3	2	0.47197	0.077243
MGH36_P3_E06	NA	black	0	0	0.04684
MGH36_P3_E07	0.70854038384	green3	2	0.14666	0.084064
MGH36_P3_E08	NA	black	0	0.44784	0
MGH36_P3_E09	0.668231619166	green3	2	0.16607	0.070389
MGH36_P3_E10	-0.567913258016	green3	2	0.14274	1.7579
MGH36_P3_E11	NA	black	0	0	2.6524
MGH36_P3_E12	0.613096963932	green3	2	0.16736	0.15056
MGH36_P3_F01	0.557619124815	green3	2	0.21039	0.062122
MGH36_P3_F02	NA	black	0	0	0.16607
MGH36_P3_F05	0.00887364305991	green3	2	0.47612	1.1648
MGH36_P3_F06	0.648217429218	green3	2	0.1635	0.11103
MGH36_P3_F07	0.719164757923	green3	2	0.15575	0.034216
MGH36_P3_F08	0.49239482468	green3	2	0.23266	0.075875
MGH36_P3_F09	-0.566119153983	green3	2	0.62199	0.1003
MGH36_P3_F10	0.0411854626967	green3	2	0.48027	1.4152
MGH36_P3_F11	-0.0457151021399	green3	2	0.4678	0.70752
MGH36_P3_F12	NA	black	0	0	0
