Cell_name	Zvalue	Color	Cluster	BRCA1	STAT3
MGH54_P2_H11	NA	black	0	0	0
MGH54_P5_A02	0.292248040837	red	1	0.44042	0.0057593
MGH54_P5_A03	NA	black	0	0	0.37295
MGH54_P5_A04	-0.583086749525	red	1	0.22774	4.3909
MGH54_P5_A05	NA	black	0	0	0.29514
MGH54_P5_A06	0.617873621669	green3	2	0.14012	0.10836
MGH54_P5_A07	NA	black	0	0	2.5785
MGH54_P5_A08	-0.642340385771	red	1	0.24123	4.666
MGH54_P5_A09	NA	black	0	0	3.2702
MGH54_P5_A10	NA	black	0	0	3.9013
MGH54_P5_A11	NA	black	0	3.9987	0
MGH54_P5_A12	NA	black	0	0	0.32193
MGH54_P5_B02	NA	black	0	0	4.5121
MGH54_P5_B03	NA	black	0	0	0
MGH54_P5_B04	NA	black	0	0	0
MGH54_P5_B05	NA	black	0	0	0.18396
MGH54_P5_B06	NA	black	0	0	2.5697
MGH54_P5_B07	NA	black	0	0	3.7824
MGH54_P5_B08	NA	black	0	0	0
MGH54_P5_B09	0.541506190251	green3	2	0.22897	0.0086303
MGH54_P5_B10	NA	black	0	0	0.32998
MGH54_P5_B11	NA	black	0	0	0.4351
MGH54_P5_B12	NA	black	0	0	0
MGH54_P5_C01	NA	black	0	0	0.2302
MGH54_P5_C02	NA	black	0	0	0
MGH54_P5_C03	NA	black	0	0	0.27143
MGH54_P5_C04	NA	black	0	0	2.0881
MGH54_P5_C05	NA	black	0	0	0
MGH54_P5_C06	NA	black	0	0	5.6133
MGH54_P5_C07	NA	black	0	0.19912	0
MGH54_P5_C08	NA	black	0	0	3.4177
MGH54_P5_C09	0.325672443557	red	1	2.1296	2.6949
MGH54_P5_C10	NA	black	0	0	0
MGH54_P5_C11	0.230806753686	red	1	0.22157	1.3144
MGH54_P5_C12	NA	black	0	0	0
MGH54_P5_D01	-0.283943503346	red	1	0.36737	3.7153
MGH54_P5_D02	NA	black	0	0	0
MGH54_P5_D03	NA	black	0	0	3.1468
MGH54_P5_D04	NA	black	0	0	4.3453
MGH54_P5_D05	NA	black	0	0	5.1738
MGH54_P5_D06	NA	black	0	0	3.5858
MGH54_P5_D08	NA	black	0	0	0
MGH54_P5_D09	NA	black	0	0	3.8435
MGH54_P5_D10	0.401933469665	green3	2	0.27381	0.41792
MGH54_P5_D11	NA	black	0	0	1.1276
MGH54_P5_D12	NA	black	0	0	3.341
MGH54_P5_E01	0.465029369217	green3	2	0.25822	0.20038
MGH54_P5_E02	NA	black	0	0	0
MGH54_P5_E03	NA	black	0	0	0.28806
MGH54_P5_E04	NA	black	0	0.21537	0
MGH54_P5_E05	NA	black	0	0	0.13488
MGH54_P5_E06	NA	black	0	0	0.74071
MGH54_P5_E07	0.442392608206	green3	2	0.19283	0.56169
MGH54_P5_E08	NA	black	0	0	0
MGH54_P5_E09	0.637997519727	green3	2	0.12565	0.094912
MGH54_P5_E10	NA	black	0	0	0.21537
MGH54_P5_E11	NA	black	0	0	2.6686
MGH54_P5_E12	NA	black	0	0	0
MGH54_P5_F01	NA	black	0	0	3.092
MGH54_P5_F02	NA	black	0	0	0.17377
MGH54_P5_F03	NA	black	0	0	0.14143
MGH54_P5_F04	NA	black	0	0	5.5677
MGH54_P5_F05	NA	black	0	0	0
MGH54_P5_F06	NA	black	0	0	0.36177
MGH54_P5_F07	0.469202073883	green3	2	0.25822	0.18142
MGH54_P5_F08	NA	black	0	0.2916	0
MGH54_P5_F10	-0.300893747491	red	1	0.21537	3.3323
MGH54_P5_F11	NA	black	0	0	0
MGH54_P5_F12	0.452145720607	green3	2	0.23756	0.35163
MGH54_P5_G01	NA	black	0	0.18777	0
MGH54_P5_G02	NA	black	0	0.25822	0
MGH54_P5_G03	NA	black	0	0	0.42331
MGH54_P5_G04	-0.406699909833	red	1	0.32423	4.1105
MGH54_P5_G05	NA	black	0	0	3.503
MGH54_P5_G06	NA	black	0	0	0.30334
MGH54_P5_G07	NA	black	0	0	0.21661
MGH54_P5_G08	NA	black	0	0	0.14666
MGH54_P5_G09	NA	black	0	0	0
MGH54_P5_G10	NA	black	0	0	3.9562
MGH54_P5_G11	NA	black	0	0	0
MGH54_P5_G12	NA	black	0	0	0.32884
MGH54_P5_H01	NA	black	0	0	0
MGH54_P5_H02	-0.168402249134	red	1	0.419	3.274
MGH54_P5_H03	0.917613947365	red	1	2.5568	3.2082
MGH54_P5_H04	NA	black	0	0	0.46048
MGH54_P5_H05	0.50720498675	green3	2	0.18777	0.32998
MGH54_P5_H06	-0.396513784928	red	1	2.112	1.7416
MGH54_P5_H07	NA	black	0	0	0.94486
MGH54_P5_H08	0.0586881148149	red	1	0.20789	1.9957
MGH54_P5_H09	-0.0338517330649	red	1	0.1635	2.3303
MGH54_P5_H10	0.0545681139406	red	1	0.87971	2.8436
MGH54_P5_H11	NA	black	0	0	2.3536
MGH54_P5_H12	NA	black	0	0	0
MGH54_P13_A02	NA	black	0	0	3.4273
MGH54_P13_A03	NA	black	0	0	0
MGH54_P13_A04	-0.150467669562	red	1	0.87578	0.70044
MGH54_P13_A05	NA	black	0	0	0.43936
MGH54_P13_A06	-0.122849958986	red	1	0.49262	3.2443
MGH54_P13_A07	-0.0631390051713	red	1	0.74588	0.19409
