Cell_name	Zvalue	Color	Cluster	ATM	BRCA1
MGH54_P6_H12	NA	black	0	0.33342	0
MGH54_P7_A02	NA	black	0	0.049631	0
MGH54_P7_A03	NA	black	0	0.20163	0
MGH54_P7_A04	NA	black	0	0.10568	0
MGH54_P7_A06	NA	black	0	1.2863	0
MGH54_P7_A07	NA	black	0	0.32769	0
MGH54_P7_A08	NA	black	0	0.15575	0
MGH54_P7_A10	0.239032245958	green3	2	0.23634	0.27262
MGH54_P7_A11	0.36848871754	green3	2	0.05797	0.18142
MGH54_P7_A12	0.285891022396	green3	2	0.12961	0.25701
MGH54_P7_B01	NA	black	0	0.21412	0
MGH54_P7_B03	0.152196497228	green3	2	0.55778	0.18777
MGH54_P7_B04	NA	black	0	0.069015	0
MGH54_P7_B05	-0.0789523918221	red	1	1.0766	0.21412
MGH54_P7_B06	0.16780359147	green3	2	0.37518	0.32193
MGH54_P7_B07	0.231329854139	green3	2	0.18903	0.30918
MGH54_P7_B08	NA	black	0	0.067639	0
MGH54_P7_B09	0.230879185879	green3	2	0.2857	0.25701
MGH54_P7_B10	NA	black	0	0	0.42653
MGH54_P7_B12	0.253839558498	green3	2	0.22527	0.25459
MGH54_P7_C01	0.230399769841	green3	2	0.32077	0.23389
MGH54_P7_C03	NA	black	0	0.2302	0
MGH54_P7_C04	NA	black	0	0.09356	0
MGH54_P7_C05	-1.13156795747	red	1	3.1789	0.22404
MGH54_P7_C06	-1.28746855395	red	1	3.6089	0.26063
MGH54_P7_C07	NA	black	0	4.2903	0
MGH54_P7_C08	0.341166035	green3	2	0.07861	0.20664
MGH54_P7_C09	NA	black	0	4.8505	0
MGH54_P7_C10	0.274604938432	green3	2	0.26784	0.19156
MGH54_P7_C11	NA	black	0	0.15316	0
MGH54_P7_C12	0.303345284763	green3	2	0.19661	0.19283
MGH54_P7_D01	NA	black	0	0.10434	0
MGH54_P7_D02	-2.02002264004	black	0	0.21909	3.4154
MGH54_P7_D03	NA	black	0	1.8488	0
MGH54_P7_D04	NA	black	0	0.052416	0
MGH54_P7_D05	NA	black	0	0	0
MGH54_P7_D06	NA	black	0	3.8456	0
MGH54_P7_D08	NA	black	0	0.25096	0
MGH54_P7_D11	NA	black	0	4.2332	0
MGH54_P7_D12	NA	black	0	0.045443	0
MGH54_P7_E01	-0.367523589519	red	1	1.7347	0.23756
MGH54_P7_E02	NA	black	0	0.066261	0
MGH54_P7_E03	NA	black	0	3.7581	0
MGH54_P7_E04	NA	black	0	2.0545	0
MGH54_P7_E05	NA	black	0	0.14274	0
MGH54_P7_E06	NA	black	0	0.08134	0
MGH54_P7_E08	NA	black	0	0	0
MGH54_P7_E09	NA	black	0	0.05797	0
MGH54_P7_E10	NA	black	0	0.46571	0
MGH54_P7_E11	NA	black	0	3.2431	0
MGH54_P7_E12	NA	black	0	0.75189	0
MGH54_P7_F01	-0.0719053183001	red	1	0.17505	0.76299
MGH54_P7_F02	NA	black	0	0.069015	0
MGH54_P7_F03	0.266599494913	green3	2	0.12433	0.28688
MGH54_P7_F04	0.0855506486605	green3	2	0.46989	0.45733
MGH54_P7_F05	-0.0819186329264	red	1	1.2582	0.44467
MGH54_P7_F06	NA	black	0	0.20163	0
MGH54_P7_F08	0.229288781848	green3	2	0.056584	0.36289
MGH54_P7_F10	NA	black	0	0	0
MGH54_P7_F11	NA	black	0	1.0621	0
MGH54_P7_G01	NA	black	0	0.123	0
MGH54_P7_G02	0.329981645971	green3	2	0.20414	0.14535
MGH54_P7_G03	NA	black	0	0.11237	0
