Cell_name	Zvalue	Color	Cluster	ANGPT2	VHL
MGH54_P16_C09	NA	black	0	0	0.24853
MGH54_P16_C10	NA	black	0	0	0.30217
MGH54_P16_C11	0.395358220004	cyan	4	0.13488	0.2228
MGH54_P16_C12	NA	black	0	0	0
MGH54_P16_D01	NA	black	0	0	0.35952
MGH54_P16_D02	-0.00935500840586	cyan	4	0.514	4.5306
MGH54_P16_D03	NA	black	0	0	3.224
MGH54_P16_D04	-0.806572372095	red	1	0.21288	3.7519
MGH54_P16_D05	0.197259542314	cyan	4	0.15834	0.70664
MGH54_P16_D06	0.19620285261	cyan	4	0.2461	0.51602
MGH54_P16_D07	NA	black	0	0	3.1268
MGH54_P16_D09	NA	black	0	0	0.30451
MGH54_P16_D10	NA	black	0	0	0.26183
MGH54_P16_D11	-0.323054812773	blue	3	0.82538	0.36177
MGH54_P16_D12	0.378117924897	cyan	4	0.1635	0.18142
MGH54_P16_E01	NA	black	0	0	0
MGH54_P16_E02	NA	black	0	0	0.60312
MGH54_P16_E03	NA	black	0	0	0.42438
MGH54_P16_E04	NA	black	0	0	0.66993
MGH54_P16_E05	NA	black	0	0	0.32654
MGH54_P16_E06	NA	black	0	0	3.4942
MGH54_P16_E07	NA	black	0	0	0.20038
MGH54_P16_E08	NA	black	0	0	3.7024
MGH54_P16_E09	NA	black	0	0	3.8614
MGH54_P16_E10	NA	black	0	0	0
MGH54_P16_E11	NA	black	0	0	0.38957
MGH54_P16_E12	NA	black	0	0	3.3788
MGH54_P16_F01	NA	black	0	0	2.4926
MGH54_P16_F03	NA	black	0	0	1.7895
MGH54_P16_F04	NA	black	0	0	0.66812
MGH54_P16_F05	NA	black	0	0	1.4217
MGH54_P16_F06	NA	black	0	0	0.45312
MGH54_P16_F07	NA	black	0	0	0.15186
