Cell_name	Zvalue	Color	Cluster	BEX2	JUN
MGH36_P4_A09	NA	black	0	0	0
MGH53_P4_C08	NA	black	0	0	9.0635
MGH36_P5_E04	NA	black	0	0	5.6074
MGH53_P2_A07	NA	black	0	0	5.1484
MGH54_P2_G10	NA	black	0	0	3.6174
MGH36_P7_E06	NA	black	0	0	6.7502
MGH36_P9_D04	NA	black	0	0	2.9742
MGH53_P1_C12	NA	black	0	0	0
MGH36_P8_F06	NA	black	0	0	3.5736
MGH36_P1_G11	NA	black	0	0	0.097611
MGH53_P1_F02	NA	black	0	0	0
MGH54_P2_D10	NA	black	0	0	3.4981
MGH36_P9_A08	NA	black	0	0	1.9971
MGH53_P2_H03	NA	black	0	0	4.3211
MGH53_P4_B03	NA	black	0	0	5.386
MGH53_P1_F10	NA	black	0	0	4.691
MGH53_P4_B05	NA	black	0	0	5.4153
MGH53_P2_B08	NA	black	0	0	2.0061
MGH36_P3_B06	NA	black	0	0	4.7728
MGH36_P10_C02	NA	black	0	0	6.1347
MGH36_P2_E05	NA	black	0	0	5.8856
MGH54_P2_G09	NA	black	0	0	4.7736
MGH54_P2_D12	NA	black	0	0	0.21039
MGH53_P2_H02	NA	black	0	0	5.3529
MGH36_P8_F11	NA	black	0	0	7.5346
MGH53_P2_A10	NA	black	0	0	2.4639
MGH54_P2_E09	NA	black	0	0	3.2339
MGH36_P3_H06	NA	black	0	0	6.9552
MGH36_P5_D05	NA	black	0	0	4.488
MGH54_P2_A11	NA	black	0	0	5.7261
MGH54_P2_G04	NA	black	0	0	2.0029
MGH36_P6_C01	NA	black	0	0	5.7335
MGH53_P2_E06	NA	black	0	0	7.6391
MGH53_P1_E01	NA	black	0	0	4.7444
MGH36_P1_B01	1.72951085419	black	0	1.4641	2.0986
MGH54_P2_H04	NA	black	0	0	0
MGH36_P2_C05	NA	black	0	0	3.8988
MGH36_P6_H05	NA	black	0	0	5.1174
MGH36_P10_E06	NA	black	0	0	4.4096
MGH54_P2_F03	NA	black	0	0	3.2876
MGH36_P4_B10	NA	black	0	0	5.9012
MGH54_P2_F02	NA	black	0	0	0
MGH36_P2_E11	NA	black	0	0	6.0365
MGH54_P2_D11	NA	black	0	0	4.5375
MGH54_P2_G01	NA	black	0	0	4.2298
MGH36_P9_D02	NA	black	0	0	3.314
