Cell_name	Zvalue	Color	Cluster	ERCC4	FOS
MGH53_P1_B02	-0.0825778196671	red	1	0.22157	7.7312
MGH54_P2_D05	0.842071213676	red	1	2.7636	8.6534
MGH53_P2_C08	-0.807554275101	red	1	0.19912	11.127
MGH53_P4_H09	NA	black	0	0	7.4862
MGH36_P8_H02	-0.280396207635	red	1	0.60312	10.924
MGH36_P10_H10	-0.422218492672	red	1	0.40708	10.279
MGH53_P1_A12	-0.301811311645	red	1	0.25701	8.8936
MGH36_P8_F08	0.0288209643541	red	1	0.074505	7.2118
MGH53_P1_D10	NA	black	0	0	6.9577
MGH53_P4_A09	-0.0899612106582	red	1	0.13488	7.7123
MGH53_P2_H08	NA	black	0	0	11.279
MGH36_P4_A09	-0.437771449214	red	1	0.20539	9.4116
MGH53_P4_C08	-0.525507384539	red	1	0.22774	9.9198
MGH36_P5_E04	-0.796762752704	red	1	0.123	10.678
MGH53_P2_A07	-0.390175504372	red	1	0.1865	9.1314
MGH54_P2_G10	0.141182554076	red	1	0.13225	6.7215
MGH36_P7_E06	NA	black	0	0	9.9191
MGH36_P9_D04	-0.189695641749	red	1	0.12829	8.1324
MGH53_P1_C12	NA	black	0	0	7.267
MGH36_P8_F06	NA	black	0	0	9.2963
MGH36_P1_G11	-0.395414441238	red	1	0.075875	8.8892
MGH53_P1_F02	-0.191007823304	red	1	0.24123	8.2928
MGH54_P2_D10	0.175951387774	red	1	0.1375	6.5668
MGH36_P9_A08	NA	black	0	0	8.772
MGH53_P2_H03	0.157829009594	red	1	1.515	8.0308
MGH53_P4_B03	-0.409141820595	red	1	0.16864	9.1683
MGH53_P1_F10	0.89696557789	red	1	2.2783	9.2067
MGH53_P4_B05	-0.0902098829284	red	1	0.18142	7.7412
MGH53_P2_B08	-0.111743485198	red	1	0.39944	8.0983
MGH36_P3_B06	NA	black	0	0	10.294
MGH36_P10_C02	-0.727991106557	red	1	0.16092	10.561
MGH36_P2_E05	0.128242632395	red	1	0.13488	6.7749
MGH54_P2_G09	-0.347655846642	red	1	0.097611	8.7412
MGH54_P2_D12	0.27347195692	red	1	0.056584	6.268
MGH53_P2_H02	-0.257881130813	red	1	0.14535	8.449
MGH36_P8_F11	NA	black	0	0	10.933
MGH53_P2_A10	NA	black	0	0	5.7183
MGH54_P2_E09	NA	black	0	0	8.5441
MGH36_P3_H06	-0.453191215482	red	1	0.22404	9.5505
MGH36_P5_D05	NA	black	0	0	9.1598
MGH54_P2_A11	-0.64012707192	red	1	0.059355	9.8005
MGH54_P2_G04	-0.411125187191	red	1	0.089498	8.9809
MGH36_P6_C01	-0.613003771259	red	1	0.070389	9.73
