Cell_name	Zvalue	Color	Cluster	CLU	JUND
MGH36_P1_A12	-0.284348407991	green3	2	6.0369	0.43829
MGH36_P1_B02	NA	black	0	6.7479	0
MGH36_P1_B03	2.33721495279	black	0	9.4573	3.5561
MGH36_P1_B04	0.282337403075	green3	2	7.5526	2.0465
MGH36_P1_B06	0.295340785268	green3	2	4.332	0.92903
MGH36_P1_B07	2.13092641183	black	0	10.094	3.0772
MGH36_P1_B08	-0.563538280952	green3	2	7.29	0.87499
MGH36_P1_B09	-2.96699663917	black	0	9.9052	0.338
MGH36_P1_B10	-0.405893455754	green3	2	6.5932	0.70576
MGH36_P1_B11	-0.0185211847402	green3	2	6.466	1.4957
MGH36_P1_B12	-0.172296987829	green3	2	7.0853	1.3127
MGH36_P1_C01	-2.71751833901	black	0	10.032	0.48954
MGH36_P1_C03	0.662659814842	green3	2	8.9706	2.2379
MGH36_P1_C05	-0.0786288014368	green3	2	7.6134	1.5395
MGH36_P1_C06	0.0135802348289	green3	2	5.5688	1.3802
MGH36_P1_C07	0.0381510883981	green3	2	5.4958	1.1217
MGH36_P1_C08	2.08583803576	black	0	8.784	3.9694
MGH36_P1_C09	0.151663576997	green3	2	5.1394	0.33113
MGH36_P1_C10	1.67252574432	black	0	8.863	3.2723
MGH36_P1_C11	-0.453652177121	green3	2	9.246	1.4552
MGH36_P1_D01	0.716746814681	green3	2	7.9982	2.5561
MGH36_P1_D02	0.112100767392	green3	2	6.5644	2.0514
MGH36_P1_D03	0.0413927483662	green3	2	6.6664	1.6978
MGH36_P1_D04	0.257298894129	green3	2	7.9619	1.9512
MGH36_P1_D06	0.275406985601	green3	2	9.7937	1.9426
MGH36_P1_D07	0.0659773443673	green3	2	5.3005	0.31499
MGH36_P1_D08	2.14484490478	black	0	9.076	3.6695
MGH36_P1_D09	1.98562802046	black	0	9.7624	3.0878
MGH36_P1_D11	1.67553563181	black	0	9.3534	2.9966
MGH36_P1_F01	1.23114246535	green3	2	8.8714	2.7788
MGH36_P1_F02	1.20844557214	green3	2	8.5578	2.9098
MGH36_P1_F03	0.163668892932	green3	2	4.3894	1.157
MGH36_P1_F04	0.82837894199	green3	2	8.3881	2.5301
MGH36_P1_F05	-0.730401558305	green3	2	7.0548	0.56365
MGH36_P1_F06	NA	black	0	8.6054	0
MGH36_P1_F08	-1.09456120766	green3	2	4.8739	3.017
MGH36_P1_F11	NA	black	0	0	0
MGH36_P1_F12	-0.134785494728	green3	2	7.1535	1.3874
MGH36_P1_G02	NA	black	0	9.4802	0
MGH36_P1_G03	-1.67842447802	black	0	4.7521	3.4669
MGH36_P1_G04	1.42902150284	green3	2	8.2354	3.6325
MGH36_P1_G07	-0.510390407034	green3	2	10.238	1.5563
MGH36_P1_G08	-0.814145527005	green3	2	5.05	2.8432
MGH36_P1_G09	0.713891449957	green3	2	8.602	2.3445
MGH36_P1_H02	-0.678784257394	green3	2	9.8387	1.4158
MGH36_P1_H03	-0.591526471535	green3	2	4.4638	2.2123
MGH36_P1_H04	0.807708672803	green3	2	8.6062	2.438
MGH36_P1_H05	0.952234448939	green3	2	9.2871	2.4228
MGH36_P1_H06	-0.00973160535427	green3	2	5.8412	1.2467
MGH36_P1_H07	0.870733090615	green3	2	8.8864	2.4308
MGH36_P1_H09	0.171062858093	green3	2	9.3561	1.8651
MGH36_P1_H10	-1.96495594909	black	0	4.3767	3.4033
MGH36_P3_A01	0.848308706	green3	2	8.5495	2.497
MGH36_P3_A02	NA	black	0	6.9255	0
MGH36_P3_A03	NA	black	0	9.7991	0
MGH36_P3_A04	0.176186082287	green3	2	8.1354	1.852
MGH36_P3_A05	NA	black	0	7.5693	0
MGH36_P3_A08	NA	black	0	9.0503	0
MGH36_P3_A09	-0.872580214249	green3	2	8.1763	0.92144
MGH36_P3_A10	NA	black	0	5.2982	0
MGH36_P3_A12	1.65848487562	green3	2	9.0715	3.118
MGH36_P3_B02	NA	black	0	5.4243	0
MGH36_P3_B03	NA	black	0	6.4854	0
MGH36_P3_B04	0.354099396888	green3	2	4.7156	0.39506
MGH36_P3_B09	NA	black	0	0	0
MGH36_P3_B10	NA	black	0	9.1214	0
MGH36_P3_B11	-0.952757817798	green3	2	8.5139	0.96717
MGH36_P3_B12	0.248292657071	green3	2	8.6419	1.9126
MGH36_P3_C01	0.489451073371	green3	2	8.7396	2.1157
MGH36_P3_C03	-1.318841836	red	1	9.7318	1.0635
MGH36_P3_C04	0.650925195839	green3	2	4.0338	0.39726
MGH36_P3_C05	1.27542695066	green3	2	8.46	3.068
MGH36_P3_C06	NA	black	0	6.1937	0
MGH36_P3_C08	-0.430237337901	green3	2	8.2595	1.301
MGH36_P3_C11	-0.478972826481	green3	2	8.0131	1.2023
MGH36_P3_C12	-1.13995383113	green3	2	7.8017	0.56071
MGH36_P3_D01	-2.22138467975	black	0	8.8818	0.31615
MGH36_P3_D02	-1.39775746223	green3	2	8.4791	0.6526
MGH36_P3_D03	1.51833777685	green3	2	8.385	3.5586
MGH36_P3_D04	0.393566602723	green3	2	7.8013	2.1551
MGH36_P3_D07	NA	black	0	5.1823	0
MGH36_P3_D08	NA	black	0	8.5448	0
MGH36_P3_D09	0.477627180816	green3	2	9.3914	2.0704
MGH36_P3_D11	1.49802554366	green3	2	9.1815	2.9086
MGH36_P3_E02	0.289213544584	green3	2	7.2239	2.1763
MGH36_P3_E04	NA	black	0	5.822	0
MGH36_P3_E05	-1.54883619803	black	0	9.4731	0.87971
MGH36_P3_E06	NA	black	0	0.24489	0
MGH36_P3_E07	-3.34330696015	black	0	0.51602	2.4544
MGH36_P3_E08	NA	black	0	9.0344	0
MGH36_P3_E09	0.402531542985	green3	2	9.606	2.0179
MGH36_P3_E10	-1.41054770654	green3	2	8.7666	0.74588
MGH36_P3_E11	NA	black	0	8.2758	0
MGH36_P3_E12	NA	black	0	7.8725	0
MGH36_P3_F01	0.0235364206759	green3	2	4.6953	1.3984
MGH36_P3_F02	NA	black	0	10.406	0
MGH36_P3_F05	-0.0736724368722	green3	2	6.0757	2.5428
MGH36_P3_F06	-2.09867778044	black	0	9.0766	0.45943
MGH36_P3_F07	-2.36222103292	black	0	10.019	0.64247
MGH36_P3_F08	NA	black	0	10.019	0
MGH36_P3_F09	NA	black	0	7.7117	0
MGH36_P3_F10	-0.156113383331	green3	2	5.8055	0.46884
MGH36_P3_F11	NA	black	0	7.3045	0
MGH36_P3_F12	0.73040579307	green3	2	9.4785	2.2388
MGH36_P3_G01	0.458015006247	green3	2	7.1255	2.9736
MGH36_P3_G02	NA	black	0	9.0522	0
MGH36_P3_G03	1.24319541494	green3	2	8.4528	3.0279
MGH36_P3_G04	-1.40308640402	green3	2	4.1097	2.7906
MGH36_P3_G05	2.25112660716	black	0	9.3027	3.5862
MGH36_P3_G06	1.37683664453	green3	2	8.174	3.6316
MGH36_P3_G08	2.22557283236	black	0	9.4658	3.441
MGH36_P3_G09	-1.62840010545	black	0	8.9317	0.67084
MGH36_P3_G10	-1.23650264599	green3	2	8.7474	0.8488
MGH36_P3_G11	0.110806265001	green3	2	5.1901	0.1903
MGH36_P3_G12	1.23168153896	green3	2	3.0671	0.16479
MGH36_P3_H03	NA	black	0	9.2068	0
MGH36_P3_H04	0.817220241064	green3	2	7.5459	3.4825
MGH36_P3_H05	-0.329521872249	green3	2	5.9242	0.19787
MGH36_P3_H07	-0.276741465948	green3	2	9.2367	1.5656
MGH36_P3_H08	NA	black	0	5.8008	0
MGH36_P3_H11	NA	black	0	0	0
MGH36_P3_H12	0.793415555275	green3	2	8.3347	2.5084
MGH36_P4_A01	NA	black	0	0	1.7497
MGH36_P4_A02	1.07423903033	green3	2	9.5495	2.4709
MGH36_P4_A03	-0.570571291979	green3	2	8.6504	1.2732
MGH36_P4_A04	NA	black	0	0	0.57918
MGH36_P4_A06	0.018969556244	green3	2	5.5113	0.69688
MGH36_P4_A07	0.366565142041	green3	2	4.7287	0.2558
MGH36_P4_A08	NA	black	0	7.9592	0
MGH36_P4_A11	1.1836466483	green3	2	8.2503	3.1154
MGH36_P4_A12	0.290211772611	green3	2	9.5332	1.9464
MGH36_P4_B02	-1.53624262258	black	0	8.9647	0.73552
MGH36_P4_B04	0.885952416797	green3	2	8.7629	2.4743
MGH36_P4_B05	0.193978665861	green3	2	5.0548	0.29396
MGH36_P4_B06	1.57259210034	green3	2	9.0136	3.0613
