Cell_name	Zvalue	Color	Cluster	BRCA1	MDM2
MGH36_P2_D04	-0.166891809824	red	1	3.8947	2.0496
MGH36_P2_D05	NA	black	0	0	0.22527
MGH36_P2_D06	NA	black	0	0	0.14666
MGH36_P2_D07	0.66767662288	red	1	0.063503	0.31499
MGH36_P2_D08	0.685595870921	red	1	0.028569	0.36289
MGH36_P2_D09	0.601925988459	red	1	0.097611	0.40054
MGH36_P2_D10	0.372366208922	red	1	0.059355	1.1137
MGH36_P2_D11	0.0499222378655	red	1	0.16736	1.9362
MGH36_P2_E01	-0.0338712872531	red	1	0.16092	2.1969
MGH36_P2_E02	NA	black	0	0	3.6598
MGH36_P2_E03	-0.451733839767	red	1	2.5051	1.6982
MGH36_P2_E04	-2.62193514065	black	0	2.9294	0.14535
MGH36_P2_E06	-0.747075868882	red	1	0.049631	3.9797
MGH36_P2_E07	0.577154327667	green3	2	0.18269	0.19912
MGH36_P2_E08	0.621938663071	red	1	0.16092	0.13356
MGH36_P2_E09	0.415937487178	green3	2	0.020058	1.0614
MGH36_P2_E10	-0.199502647905	red	1	0.25822	2.8371
MGH36_P2_F02	0.494200660408	green3	2	0.12565	0.63877
MGH36_P2_F03	NA	black	0	0	0.21288
MGH36_P2_F04	NA	black	0	0	3.3411
MGH36_P2_F06	0.608241062714	red	1	0.10434	0.36289
MGH36_P2_F07	0.671056308807	red	1	0.11237	0.15445
MGH36_P2_F08	-0.0732243663327	red	1	0.21164	2.3417
MGH36_P2_F10	0.256950781589	red	1	0.23266	1.1699
MGH36_P2_F11	-0.334005730179	red	1	0.20289	3.1979
MGH36_P2_F12	0.134228322236	red	1	0.10969	1.7115
MGH36_P2_G01	0.589051323636	green3	2	0.11237	0.39506
MGH36_P2_G02	0.587870265377	green3	2	0.14666	0.2916
MGH36_P2_G03	0.691358080997	red	1	0.063503	0.25096
MGH36_P2_G04	-0.0728530680323	red	1	0.1903	2.33
MGH36_P2_G05	0.73900818655	red	1	0.032806	0.21412
MGH36_P2_G07	0.71198491966	red	1	0.03984	0.26424
MGH36_P2_G08	0.57001532163	green3	2	0.11636	0.43936
MGH36_P2_G09	0.77498324925	red	1	0.0229	0.15056
MGH36_P2_G11	-0.324696665833	red	1	0.17121	3.1047
MGH36_P2_G12	NA	black	0	0	0.45418
MGH36_P2_H01	NA	black	0	0	0.37962
MGH36_P2_H02	-0.635773874919	red	1	1.2363	0.123
MGH36_P2_H03	-0.0841090531196	red	1	0.19787	2.3707
MGH36_P2_H04	0.438488256612	green3	2	3.3387	2.4125
MGH36_P2_H05	0.750482267782	red	1	0.05797	0.10836
MGH36_P2_H06	-2.28174355862	black	0	2.8331	0.32308
MGH36_P2_H07	0.3424040472	red	1	0.39397	0.1865
MGH36_P2_H10	NA	black	0	0	0.3471
MGH53_P5_A02	NA	black	0	0	1.0122
MGH53_P5_A03	NA	black	0	0	2.0892
MGH53_P5_A04	-0.0261967115704	red	1	0.68975	3.822
MGH53_P5_A06	NA	black	0	0	0.62199
MGH53_P5_A07	-0.0108200113208	red	1	0.71984	5.6514
MGH53_P5_A08	-0.113801276636	red	1	0.52507	3.124
MGH53_P5_A09	-3.62676135559	black	0	4.0306	0.301
MGH53_P5_A11	NA	black	0	0	0.94785
MGH53_P5_B01	NA	black	0	0	0.23266
MGH53_P5_B03	NA	black	0	0	0
MGH53_P5_B04	2.94027830261	black	0	4.0049	3.6494
MGH53_P5_B05	0.225500112502	red	1	0.48336	0.3173
MGH53_P5_B06	NA	black	0	0	0
MGH53_P5_B07	-0.194269102835	red	1	0.19283	2.726
MGH53_P5_B08	NA	black	0	0	2.1362
MGH53_P5_B09	NA	black	0	0	3.1395
MGH53_P5_B10	NA	black	0	0	1.0036
MGH53_P5_B11	NA	black	0	0	0.27143
MGH53_P5_B12	NA	black	0	0	0
MGH53_P5_C01	NA	black	0	0	5.6113
MGH53_P5_C02	NA	black	0	0	2.595
MGH53_P5_C03	2.32040736533	black	0	1.7723	5.855
MGH53_P5_C04	NA	black	0	0	2.2166
MGH53_P5_C05	NA	black	0	0	4.2488
MGH53_P5_C06	NA	black	0	0	5.4755
MGH53_P5_C07	NA	black	0	0	3.5334
MGH53_P5_C08	0.0883338213479	red	1	0.81885	3.5164
MGH53_P5_C09	NA	black	0	0	2.8877
MGH53_P5_C10	NA	black	0	0	4.7784
MGH53_P5_C11	0.361911859969	red	1	0.32308	0.46676
MGH53_P5_D01	NA	black	0	0	0.56949
MGH53_P5_D02	4.69226739283	black	0	4.6145	4.1844
MGH53_P5_D04	NA	black	0	0	0.39177
MGH53_P5_D05	NA	black	0	0	2.929
MGH53_P5_D07	NA	black	0	0	1.5597
MGH53_P5_D08	NA	black	0	0	0
MGH53_P5_D09	NA	black	0	0	2.9321
MGH53_P5_D11	NA	black	0	0	2.5814
MGH53_P5_E01	NA	black	0	0	0
MGH53_P5_E02	NA	black	0	1.5099	0
MGH53_P5_E03	NA	black	0	0	0
MGH53_P5_E04	NA	black	0	0	2.0335
MGH53_P5_E06	NA	black	0	0	4.6387
MGH53_P5_E08	NA	black	0	0	0
MGH53_P5_E09	-0.190751537172	red	1	0.57434	4.3342
MGH53_P5_E11	NA	black	0	0	0
MGH53_P5_F01	NA	black	0	0	3.3594
MGH53_P5_F03	NA	black	0	0.44784	0
MGH53_P5_F05	NA	black	0	0	0.34596
MGH53_P5_F06	NA	black	0	0	4.0317
MGH53_P5_F07	NA	black	0	0	4.2758
MGH53_P5_F08	NA	black	0	0	2.7811
MGH53_P5_F10	0.0250831118908	red	1	0.64432	1.3718
MGH53_P5_F11	NA	black	0	0	0
MGH53_P5_G01	NA	black	0	0	0.62387
MGH53_P5_G04	NA	black	0	0	0
MGH53_P5_G05	NA	black	0	0	2.9323
MGH53_P5_G07	NA	black	0	0	3.6649
MGH53_P5_G08	-0.140553459739	red	1	0.3173	2.698
MGH53_P5_G09	NA	black	0	0	3.8105
MGH53_P5_G10	0.597811366706	red	1	0.16736	0.18777
MGH53_P5_G11	NA	black	0	0	2.296
MGH53_P5_H02	NA	black	0	0	0.79577
MGH53_P5_H03	NA	black	0	0	3.22
MGH53_P5_H04	-0.00708858746138	red	1	0.6526	2.3161
MGH53_P5_H05	-0.00142271821778	red	1	0.69866	0.38184
MGH53_P5_H07	NA	black	0	0	0
MGH53_P5_H08	NA	black	0	0	1.9027
MGH53_P5_H10	NA	black	0	0	2.1532
MGH53_P5_H11	-0.237629523993	red	1	0.21039	2.8934
MGH53_P6_A01	-0.0472487267159	red	1	0.76384	0.85758
MGH53_P6_A02	0.314275294454	red	1	0.34937	0.57725
MGH53_P6_A03	NA	black	0	0	2.4505
MGH53_P6_A04	NA	black	0	0	4.3323
MGH53_P6_A05	0.496180577555	green3	2	0.24367	0.24732
MGH53_P6_A06	-0.2362596006	red	1	0.17249	2.8327
MGH53_P6_A07	NA	black	0	0	3.3522
MGH53_P6_A08	-0.712756643856	red	1	0.15056	4.2113
MGH53_P6_A09	1.9429775954	black	0	3.9513	3.152
MGH53_P6_A10	0.132059506713	red	1	0.19661	1.6544
MGH53_P6_A11	-0.125763714792	red	1	0.14926	2.4712
MGH53_P6_A12	NA	black	0	0	0
MGH53_P6_B02	NA	black	0	0	3.3566
MGH53_P6_B03	NA	black	0	0	4.7001
MGH53_P6_B04	NA	black	0	0	1.4489
MGH53_P6_B05	0.309916325408	red	1	0.19535	1.06
