Cell_name	Zvalue	Color	Cluster	IFNAR1	STAT3
MGH36_P3_E12	0.283871132646	red	1	3.1871	2.8323
MGH36_P3_F01	1.32714965979	red	1	0.084064	0.16993
MGH36_P3_F02	0.325175289189	red	1	1.3208	0.42223
MGH36_P3_F05	-1.10702977175	red	1	0.30918	4.2357
MGH36_P3_F06	0.606753791966	red	1	0.30918	1.1641
MGH36_P3_F07	0.960055166505	red	1	0.26063	0.57725
MGH36_P3_F08	1.2144358091	red	1	0.19535	0.21537
MGH36_P3_F09	NA	black	0	5.3111	0
MGH36_P3_F10	1.25059557424	red	1	0.21661	0.12565
MGH36_P3_F11	-1.66928013814	red	1	4.1241	0.3584
MGH36_P3_F12	3.15556815835	black	0	5.1614	4.8329
MGH36_P3_G01	1.07550845191	green3	2	0.27381	0.35727
MGH36_P3_G02	-1.80704608751	red	1	0.12565	5.1266
MGH36_P3_G03	0.722660600319	red	1	0.4351	0.8335
MGH36_P3_G04	-0.00525703114789	red	1	1.8016	0.31962
MGH36_P3_G05	1.70323384545	red	1	4.137	4.2587
MGH36_P3_G06	0.904823887729	red	1	0.35614	0.56949
MGH36_P3_G08	0.976473975653	red	1	0.43082	0.33457
MGH36_P3_G09	-1.22298545114	red	1	0.17887	4.2678
MGH36_P3_G10	0.449974677646	red	1	0.50691	1.3248
MGH36_P3_G11	NA	black	0	0	3.6003
MGH36_P3_G12	-0.0234377530797	red	1	1.0172	2.344
MGH36_P3_H03	-1.00826325157	red	1	0.26903	4.0136
MGH36_P3_H04	-0.667793859152	red	1	0.39067	3.5234
MGH36_P3_H05	-0.658885142519	red	1	0.31499	3.4433
MGH36_P3_H07	-1.137495625	red	1	0.20664	4.1604
MGH36_P3_H08	0.00201286500073	red	1	0.1177	2.2546
MGH36_P3_H11	-0.902136526018	red	1	0.25822	3.8189
MGH36_P3_H12	-1.3215578996	red	1	0.26424	4.5478
MGH36_P4_A01	-0.0916544229139	red	1	1.9149	0.23389
MGH36_P4_A02	-0.0943558824492	red	1	0.58207	2.4683
MGH36_P4_A03	-1.24285346175	red	1	0.1177	4.2267
MGH36_P4_A04	NA	black	0	0	0.12961
MGH36_P4_A06	NA	black	0	0.24732	0
MGH36_P4_A07	0.217771944216	red	1	2.4766	3.1515
MGH36_P4_A08	0.87126458906	red	1	0.44996	0.51904
MGH36_P4_A11	-1.4610945563	red	1	4.3675	0.75873
MGH36_P4_A12	NA	black	0	0.1137	0
MGH36_P4_B02	1.01235592724	red	1	0.48027	0.18777
MGH36_P4_B04	NA	black	0	0	0.26784
MGH36_P4_B05	0.169528100154	red	1	2.2428	3.3262
MGH36_P4_B06	-1.41607448739	red	1	4.2974	0.76384
MGH36_P4_B08	1.49032792779	red	1	3.57	4.5679
MGH36_P4_B09	-0.851748070392	red	1	3.0535	0.45838
MGH36_P4_B12	1.3262477358	red	1	0.15056	0.086784
MGH36_P4_C02	-1.39845924191	red	1	3.5949	0.19409
MGH36_P4_C03	NA	black	0	0	0
MGH36_P4_C04	NA	black	0	0	0
MGH36_P4_C05	1.31437191372	red	1	0.13881	0.12168
MGH36_P4_C06	NA	black	0	0	4.2105
MGH36_P4_C07	0.934309925717	red	1	3.0147	4.3734
MGH36_P4_C08	NA	black	0	4.717	0
MGH36_P4_C10	1.24086418942	red	1	0.12035	0.26424
MGH36_P4_C11	-1.79274640555	red	1	0.52507	5.9726
MGH36_P4_C12	1.37375223722	red	1	3.1373	5.0826
MGH36_P4_D01	1.11809216651	green3	2	0.36177	0.15963
MGH36_P4_D02	1.0458560331	red	1	3.2174	4.2851
MGH36_P4_D05	1.17879404663	green3	2	0.21412	0.25217
MGH36_P4_D07	1.04047908417	red	1	0.4916	0.11103
MGH36_P4_D08	-2.16452044353	red	1	0.16736	5.7746
MGH36_P4_D09	-1.2151524448	red	1	3.3082	0.123
MGH36_P4_D10	-0.83875283125	red	1	0.79743	4.4757
MGH36_P4_D11	-1.63854266913	red	1	0.25942	5.0833
MGH36_P4_D12	1.37817790147	red	1	0.14926	0.0028825
MGH36_P4_E01	0.00861566963929	red	1	1.8331	3.2738
MGH36_P4_E02	NA	black	0	0	4.0346
MGH36_P4_E04	0.981466978379	red	1	0.2857	0.51096
MGH36_P4_E06	-0.916478594946	red	1	0.21785	3.8034
MGH36_P4_E07	NA	black	0	0.25338	0
MGH36_P4_E08	1.08627022847	green3	2	0.21164	0.41359
MGH36_P4_E09	-2.38715346941	red	1	0.086784	5.9541
MGH36_P4_E10	NA	black	0	0.98987	0
MGH36_P4_E11	NA	black	0	0.098958	0
MGH36_P4_E12	0.506596328047	red	1	0.86711	0.79826
MGH36_P4_F01	1.1496851343	green3	2	0.35163	0.11503
MGH36_P4_F02	-0.871674137181	red	1	0.50386	4.0491
MGH36_P4_F03	0.294200579279	red	1	3.8078	2.6787
MGH36_P4_F04	-1.06239738987	red	1	0.20789	4.0369
MGH36_P4_F05	-1.28378816058	red	1	0.31034	4.5507
MGH36_P4_F06	-1.57392980444	red	1	0.14926	4.7944
MGH36_P4_F07	-0.218556859501	red	1	0.54696	2.727
MGH36_P4_F09	1.26463011507	red	1	0.16607	0.16864
MGH36_P4_F10	-1.13141460693	red	1	3.1999	0.11636
MGH36_P4_F11	-2.01496847656	red	1	4.4031	0.21039
MGH36_P4_F12	NA	black	0	0	1.8351
MGH36_P4_G01	-0.6054628108	red	1	0.47716	3.4805
MGH36_P4_G02	-2.3909266081	red	1	0.23879	6.3116
MGH36_P4_G03	1.14002607581	green3	2	0.15704	0.38626
MGH36_P4_G04	0.260494712006	red	1	2.8462	2.9514
MGH36_P4_G05	0.786410752518	red	1	0.29278	0.8536
MGH36_P4_G06	NA	black	0	0	0.1776
MGH36_P4_G08	NA	black	0	3.9629	0
MGH36_P4_G09	NA	black	0	0.4844	0
MGH36_P4_G10	1.29515400472	red	1	0.17121	0.11103
MGH36_P4_G11	1.12032357467	green3	2	0.17887	0.39397
MGH36_P4_H01	1.38101043363	red	1	4.0616	3.9372
MGH36_P4_H02	NA	black	0	0.15186	0
MGH36_P4_H03	2.44419178614	red	1	3.8212	5.573
MGH36_P4_H04	1.14695028254	green3	2	0.28924	0.20914
