Cell_name	Zvalue	Color	Cluster	ICAM1	REL
MGH53_P1_E06	0.260676816307	blue	3	2.1345	3.7081
MGH36_P4_A10	3.23031096861	black	0	5.4815	5.2584
MGH36_P6_B02	2.46898379097	black	0	6.2424	4.4472
MGH53_P4_G06	0.544197983684	black	0	3.7893	2.9003
MGH36_P8_F01	1.54968653834	black	0	4.4382	3.9628
MGH36_P9_F06	NA	black	0	0	0.38294
MGH36_P5_H04	0.114619680453	blue	3	1.8953	2.2488
MGH53_P1_B03	-0.849429069056	black	0	1.679	5.1368
MGH53_P2_D05	-0.126233165714	green3	2	1.294	2.8764
MGH36_P4_G12	2.86348481245	black	0	4.4968	6.158
MGH53_P2_D11	-0.956480315393	black	0	1.6026	5.1248
MGH53_P4_C02	-0.652174021517	black	0	0.84238	3.326
MGH53_P4_F04	1.35292848579	black	0	4.2666	3.7874
MGH36_P3_D10	0.180222769957	blue	3	0.17121	0.54597
MGH54_P2_F04	NA	black	0	4.6364	0
MGH36_P6_A03	-0.223518679395	green3	2	0.84559	2.4471
MGH53_P1_F07	0.137928278253	blue	3	2.9144	2.2774
MGH36_P5_H08	NA	black	0	0	3.3105
MGH54_P2_A04	NA	black	0	0	1.4993
MGH53_P4_E11	-2.12613480748	black	0	0.15445	4.1102
MGH53_P2_G03	NA	black	0	0	5.8437
MGH36_P3_F04	-1.1530338081	black	0	1.2714	4.7462
MGH54_P2_B02	NA	black	0	0	5.6953
MGH36_P5_C07	-0.483118833765	black	0	6.8425	2.9911
MGH53_P2_E02	-0.262635719592	green3	2	2.2379	5.5583
MGH54_P2_F09	NA	black	0	0	6.7928
MGH36_P3_D05	-1.4656639159	black	0	5.4326	1.9697
MGH36_P5_F12	0.0248246478332	blue	3	6.9736	3.2596
MGH53_P2_H09	NA	black	0	0	5.8008
MGH54_P2_F07	-0.607319602663	black	0	1.3757	4.1514
MGH36_P5_D10	NA	black	0	0	4.611
MGH54_P2_F11	NA	black	0	0	1.0683
MGH53_P2_H04	0.595658378526	black	0	5.757	3.2431
MGH36_P6_F09	-1.67209158181	black	0	1.8392	6.4342
MGH36_P9_F05	NA	black	0	0.51197	0
MGH36_P8_G11	-0.308564601131	black	0	6.0371	2.8146
MGH54_P2_A07	-0.691092293125	black	0	1.8127	5.199
MGH36_P7_H06	-6.38667960079	black	0	6.8527	0.68437
MGH53_P1_A01	NA	black	0	0	1.3448
MGH53_P1_A02	NA	black	0	0	1.726
MGH54_P2_E07	-4.47811064902	black	0	4.9062	0.15056
MGH53_P4_F07	-4.39739688714	black	0	6.1001	0.97379
MGH53_P2_C05	1.77848263028	black	0	6.7165	4.0634
MGH53_P4_H07	NA	black	0	0	5.5235
MGH53_P2_C06	4.04034191815	black	0	6.047	5.677
MGH36_P3_F03	-0.787667567084	black	0	0.43829	3.0029
MGH36_P2_A10	1.14945694269	black	0	4.1461	3.577
MGH53_P4_E03	0.607672572203	black	0	2.9791	6.2319
MGH36_P9_D12	0.465773162713	magenta	5	5.103	3.022
MGH54_P2_H03	-2.31001294635	black	0	0.11636	4.2213
MGH36_P4_D06	NA	black	0	0	0.70929
MGH53_P2_B03	NA	black	0	0	5.1327
MGH53_P4_F03	2.49041198812	black	0	4.2887	5.751
MGH36_P10_E09	NA	black	0	0	4.0092
MGH53_P1_G02	NA	black	0	0	3.902
MGH54_P2_A02	0.798161948193	black	0	3.0234	5.906
MGH36_P3_A07	-0.838713653534	black	0	1.4526	4.6622
MGH53_P4_E12	-1.44092866929	black	0	5.4271	1.9804
MGH54_P2_A03	NA	black	0	0	4.4884
MGH53_P4_E10	-0.0309126497823	green3	2	1.2443	2.3159
MGH54_P2_D08	-4.52896307866	black	0	0.18269	5.9004
MGH36_P8_A02	NA	black	0	6.0386	0
MGH54_P2_B07	NA	black	0	0	6.0613
MGH53_P1_B10	2.26340774517	black	0	4.0506	6.1042
MGH53_P2_F08	NA	black	0	0	4.0247
MGH36_P10_A01	3.00624072658	black	0	7.0956	4.7426
MGH36_P10_F01	5.20751949979	black	0	7.9476	5.8393
MGH53_P4_G03	NA	black	0	0	3.4934
MGH53_P1_F12	1.16735660631	black	0	3.7079	3.7795
MGH36_P4_B03	2.13327451346	black	0	6.4152	4.2394
MGH54_P2_C07	-2.83271095452	black	0	0.16479	4.705
MGH53_P1_B02	NA	black	0	0	1.2191
MGH54_P2_D05	NA	black	0	0	3.025
MGH53_P2_C08	0.581675824925	black	0	5.9192	3.2699
MGH53_P4_H09	NA	black	0	0	3.2741
MGH36_P8_H02	0.424102760679	magenta	5	8.1214	3.7411
MGH36_P10_H10	2.21225738826	black	0	4.2783	5.075
MGH53_P1_A12	-1.076352903	black	0	0.2558	3.1662
MGH36_P8_F08	4.53626584493	black	0	7.5888	5.5348
MGH53_P1_D10	1.9130517349	black	0	3.8439	5.4505
MGH53_P4_A09	-4.55934971167	black	0	0.15056	5.8749
MGH53_P2_H08	NA	black	0	0	3.11
MGH36_P4_A09	-0.910745073734	black	0	1.4875	4.8324
MGH53_P4_C08	1.51386069791	black	0	3.6918	4.5232
MGH36_P5_E04	2.20528297242	black	0	4.5018	4.7756
MGH53_P2_A07	2.77303238864	black	0	4.904	5.1849
MGH54_P2_G10	NA	black	0	0	3.7488
MGH36_P7_E06	4.17302229733	black	0	5.4707	6.4209
MGH36_P9_D04	3.18883045249	black	0	6.8859	4.8506
MGH53_P1_C12	-2.56698119498	black	0	0.15704	4.4849
MGH36_P8_F06	3.96275999361	black	0	5.9672	5.6562
MGH36_P1_G11	-1.02785844955	black	0	6.792	2.7323
