Cell_name	Zvalue	Color	Cluster	CCL5	IRF1
MGH36_P3_B04	-1.27196132546	black	0	3.9436	1.0731
MGH36_P3_B09	-0.73171270967	red	1	3.0421	0.74588
MGH36_P3_B10	0.534433984446	green3	2	3.3665	1.8532
MGH36_P3_B11	-0.00323914696918	green3	2	2.7422	1.3346
MGH36_P3_B12	0.0934412030551	green3	2	2.9949	1.5013
MGH36_P3_C01	-1.00291625985	black	0	3.3138	0.80735
MGH36_P3_C03	-0.408786048502	green3	2	2.9069	0.89608
MGH36_P3_C04	-0.0314516114096	green3	2	2.4521	0.9396
MGH36_P3_C05	-0.524774581965	green3	2	3.4261	1.157
MGH36_P3_C06	0.525383547056	green3	2	1.8074	0.56169
MGH36_P3_C08	0.00921362379638	green3	2	3.5134	1.4977
MGH36_P3_C11	0.144355424173	green3	2	2.8237	1.6299
MGH36_P3_C12	0.289463100315	green3	2	3.2441	1.6781
MGH36_P3_D01	0.37656366281	green3	2	3.6723	1.7203
MGH36_P3_D02	-0.0558843356217	green3	2	2.5168	0.99422
MGH36_P3_D03	0.136816061464	green3	2	2.9493	1.5632
MGH36_P3_D04	-0.422899172695	green3	2	2.8811	0.85519
MGH36_P3_D07	0.212136865226	green3	2	2.8584	3.5398
MGH36_P3_D08	0.0714880251544	green3	2	2.9105	1.4746
MGH36_P3_D09	-0.0481536414206	green3	2	2.1147	1.3045
MGH36_P3_D11	0.317978524328	green3	2	2.8383	2.0895
MGH36_P3_E02	-0.00177657503783	green3	2	3.5696	1.5023
MGH36_P3_E04	-0.011964071871	green3	2	2.446	1.4859
MGH36_P3_E05	-0.0121872582526	green3	2	2.4478	1.4936
MGH36_P3_E06	-0.0453447672617	green3	2	2.4346	0.80818
MGH36_P3_E07	0.0343708773536	green3	2	2.6742	1.4314
MGH36_P3_E08	-0.0376232215427	green3	2	3.5499	1.4782
MGH36_P3_E09	-0.0814485120781	green3	2	3.4726	1.4351
MGH36_P3_E10	0.073042193032	green3	2	2.7983	1.4921
MGH36_P3_E11	-0.997411159114	black	0	1.3311	1.5821
MGH36_P3_E12	0.146146576046	green3	2	2.7446	1.7351
MGH36_P3_F01	-0.243160932803	green3	2	2.856	1.0335
MGH36_P3_F02	4.02474841912	black	0	3.801	4.3033
MGH36_P3_F05	-0.211998607622	green3	2	3.1755	1.251
MGH36_P3_F06	0.253694091675	green3	2	3.0264	1.696
MGH36_P3_F07	-1.3145487612	black	0	3.2876	0.60597
MGH36_P3_F08	-0.26733131077	green3	2	3.0568	1.146
MGH36_P3_F09	-1.08630191218	black	0	3.646	0.98987
MGH36_P3_F10	-3.12372655631	black	0	2.247	4.1577
MGH36_P3_F11	0.0536507317741	green3	2	2.2528	1.044
MGH36_P3_F12	-1.08204372141	black	0	1.9512	2.2045
MGH36_P3_G01	-0.155925673322	green3	2	3.0358	1.24
MGH36_P3_G02	-0.726307595548	red	1	3.2973	0.96125
MGH36_P3_G03	-0.957486947993	black	0	3.223	0.75873
MGH36_P3_G04	-0.270927886678	green3	2	2.8842	1.0243
MGH36_P3_G05	-0.0266642113641	green3	2	3.2963	1.4303
MGH36_P3_G06	0.00214818063735	green3	2	2.4883	1.4854
MGH36_P3_G08	-0.00121343843485	green3	2	2.5607	1.2992
MGH36_P3_G09	-0.0247895417421	green3	2	2.3716	0.6248
MGH36_P3_G10	0.25691992902	green3	2	3.2154	1.6531
MGH36_P3_G11	0.00445555544623	green3	2	2.3637	0.75788
MGH36_P3_G12	-0.6126044784	red	1	2.9795	0.77905
MGH36_P3_H03	-0.568638655491	red	1	3.2778	1.0489
MGH36_P3_H04	-0.065661847679	green3	2	2.8254	1.2534
MGH36_P3_H05	-0.0799836428193	green3	2	2.557	0.98841
MGH36_P3_H07	0.00129766754072	green3	2	3.4371	1.4782
MGH36_P3_H08	0.136914821837	green3	2	2.985	1.5568
MGH36_P3_H11	0.0227829525913	green3	2	2.5457	1.6116
MGH36_P3_H12	1.61431026045	black	0	3.2885	4.8431
MGH36_P4_A01	-0.48440499584	green3	2	3.025	0.93206
MGH36_P4_A02	0.158923536535	green3	2	3.1147	1.569
MGH36_P4_A03	-0.346420889366	green3	2	2.8552	0.9115
MGH36_P4_A04	-0.398824251245	green3	2	3.6381	1.3132
MGH36_P4_A06	-0.137886100696	green3	2	2.7767	1.1124
MGH36_P4_A07	-0.337739088306	green3	2	2.514	0.33113
MGH36_P4_A08	0.213344652549	green3	2	1.52	0.95606
MGH36_P4_A11	-0.0439267419707	green3	2	3.1321	1.378
MGH36_P4_A12	-0.00180762991305	green3	2	2.423	1.3132
MGH36_P4_B02	1.29587026598	black	0	3.2669	2.7828
MGH36_P4_B04	0.01156069474	green3	2	2.9343	1.394
MGH36_P4_B05	-0.130308212738	green3	2	2.7275	1.0834
MGH36_P4_B06	0.00548547999388	green3	2	2.5011	1.514
MGH36_P4_B08	-0.0151638162807	green3	2	3.2561	1.4303
MGH36_P4_B09	0.141725758222	green3	2	2.9933	1.5617
MGH36_P4_B12	-0.237132423105	green3	2	2.632	0.77146
MGH36_P4_C02	-0.254037021133	green3	2	2.8347	1.0014
MGH36_P4_C03	0.0165203770561	green3	2	2.5442	1.7437
MGH36_P4_C04	0.694999825024	blue	3	0.8472	0.69332
MGH36_P4_C05	-0.00340398594754	green3	2	2.3843	0.82701
MGH36_P4_C06	-0.346833497445	green3	2	3.0704	1.0841
MGH36_P4_C07	0.453573649665	green3	2	2.8832	2.9855
MGH36_P4_C08	-0.332202385192	green3	2	3.114	1.123
MGH36_P4_C10	0.473967494971	green3	2	3.1961	1.8667
MGH36_P4_C11	-0.0215789700169	green3	2	2.9828	1.3635
MGH36_P4_C12	-0.280320235012	green3	2	2.8367	0.97085
MGH36_P4_D01	0.00503028771095	green3	2	2.6107	1.3357
MGH36_P4_D02	-0.0608331193245	green3	2	2.4106	0.64893
MGH36_P4_D05	-1.37869501451	black	0	3.9798	1.0517
MGH36_P4_D07	0.0233140528555	green3	2	2.5479	1.6554
MGH36_P4_D08	-0.0825510725639	green3	2	3.0224	1.3086
MGH36_P4_D09	0.682363683039	blue	3	3.6489	1.8918
MGH36_P4_D10	0.616994936663	green3	2	3.2368	1.988
MGH36_P4_D11	-0.240329009609	green3	2	2.9362	1.0976
MGH36_P4_D12	-2.22680146738	black	0	2.1502	3.3792
MGH36_P4_E01	0.0309950840206	green3	2	2.3228	0.66175
MGH36_P4_E02	-0.00184837057847	green3	2	2.45	1.1979
MGH36_P4_E04	0.247308306391	green3	2	3.4765	1.6388
MGH36_P4_E06	0.0445514975678	green3	2	2.9454	1.4383
MGH36_P4_E07	0.201024280193	green3	2	2.0193	0.86948
MGH36_P4_E08	0.0723569973572	green3	2	2.8193	1.4859
MGH36_P4_E09	-0.0421180717084	green3	2	2.3311	0.33571
MGH36_P4_E10	1.03811087199	black	0	3.6525	2.1023
MGH36_P4_E11	-0.15271953417	green3	2	2.9723	1.2135
MGH36_P4_E12	3.06592905845	black	0	4.8169	2.6041
MGH36_P4_F01	0.192852933185	green3	2	2.1654	0.54893
MGH36_P4_F02	0.374314777994	green3	2	3.1955	1.7672
MGH36_P4_F03	0.0322812405645	green3	2	3.07	1.4383
MGH36_P4_F04	-1.33651439818	black	0	2.7416	4.7154
MGH36_P4_F05	0.0141950410783	green3	2	3.2683	1.4552
MGH36_P4_F06	0.04478303557	green3	2	2.6889	1.4589
MGH36_P4_F07	0.313705864655	green3	2	3.0694	1.7519
MGH36_P4_F09	0.310520315618	green3	2	1.886	0.78994
MGH36_P4_F10	-0.309464198307	green3	2	3.0779	1.121
MGH36_P4_F11	-0.624633219745	red	1	3.0791	0.86394
MGH36_P4_F12	0.000588320315696	green3	2	2.4265	1.1467
MGH36_P4_G01	1.03101888628	black	0	3.6257	2.1084
MGH36_P4_G02	-1.16041278695	black	0	3.7584	1.0208
MGH36_P4_G03	0.0186050828121	green3	2	2.8146	1.3879
MGH36_P4_G04	-0.0035655291402	green3	2	2.5383	1.2774
