Cell_name	Zvalue	Color	Cluster	L1TD1	NANOG
MGH36_P6_C08	-0.972970522216	black	0	0.46048	1.6713
MGH36_P6_C09	0.239486333382	green3	2	0.34823	0.64616
MGH36_P6_C11	0.144343093963	green3	2	1.0093	1.5695
MGH36_P6_C12	NA	black	0	0.55778	0
MGH36_P6_D01	0.31007721108	green3	2	0.64339	0.29866
MGH36_P6_D02	NA	black	0	0	0
MGH36_P6_D03	NA	black	0	0.72857	0
MGH36_P6_D04	0.170503254584	green3	2	0.68527	0.50995
MGH36_P6_D05	0.0885589029066	green3	2	0.78492	0.45418
MGH36_P6_D06	0.257406964996	green3	2	0.67627	0.3173
MGH36_P6_D07	0.191135845916	green3	2	0.68257	0.46571
MGH36_P6_D08	0.0152916090668	green3	2	0.8496	0.41576
MGH36_P6_D10	0.114382111163	green3	2	0.74932	0.50589
MGH36_P6_D11	0.21000198296	green3	2	0.67807	0.43082
MGH36_P6_E02	NA	black	0	1.2696	0
MGH36_P6_E03	NA	black	0	0.76553	0
MGH36_P6_E04	0.923747279553	black	0	0.39616	0.015783
MGH36_P6_E05	0.746830694473	blue	3	0.47301	0.051024
MGH36_P6_E06	0.00842936523672	green3	2	0.83188	0.83996
MGH36_P6_E07	0.963168302947	black	0	0.26063	0.16607
MGH36_P6_E08	-0.438615019285	green3	2	1.1322	0.32423
MGH36_P6_E09	0.551317835089	blue	3	0.36961	0.38626
MGH36_P6_E10	NA	black	0	0.38847	0
MGH36_P6_E11	NA	black	0	0.60217	0
MGH36_P6_E12	-0.774199814147	red	1	1.3989	0.42761
MGH36_P6_F01	0.278138022347	green3	2	0.60122	0.4489
MGH36_P6_F04	0.757395825148	blue	3	0.28096	0.29514
MGH36_P6_F06	NA	black	0	0.38294	0
MGH36_P6_F07	0.589026577842	blue	3	0.50182	0.18396
MGH36_P6_F08	-7.21201164327	black	0	0.32539	4.6409
MGH36_P6_F10	-0.0591201748796	green3	2	0.68706	0.99567
MGH36_P6_F12	0.177722492295	green3	2	0.72857	0.34823
MGH36_P6_G01	0.19389726362	green3	2	0.74244	0.17887
MGH36_P6_G02	NA	black	0	0.89918	0
MGH36_P6_G03	0.737663910582	blue	3	0.38405	0.20914
MGH36_P6_G04	-0.101164648721	green3	2	1.0363	0.68975
MGH36_P6_G05	NA	black	0	0.41359	0
MGH36_P6_G06	-0.0139027278622	green3	2	0.93584	0.81967
MGH36_P6_G07	-0.163768384261	green3	2	1.0419	0.56462
MGH36_P6_G08	0.436553259442	blue	3	0.57821	0.23634
MGH36_P6_G09	NA	black	0	0.73466	0
MGH36_P6_G10	0.295239368796	green3	2	0.65076	0.30918
MGH36_P6_G11	0.613518448915	blue	3	0.22651	0.42546
MGH36_P6_G12	NA	black	0	0	0
MGH36_P6_H06	-0.254435351793	green3	2	1	0.24732
MGH36_P6_H07	-0.904074052322	black	0	0.29866	1.4005
MGH36_P6_H10	0.520488970992	blue	3	0.56267	0.14143
MGH36_P6_H12	0.190164028759	green3	2	0.72683	0.30918
MGH36_P7_A01	0.198032021223	green3	2	0.69688	0.40817
MGH36_P7_A02	0.00584764542383	green3	2	0.91762	1.0072
MGH36_P7_A03	NA	black	0	0.77905	0
MGH36_P7_A04	0.590597395802	blue	3	1.4383	1.4478
MGH36_P7_A06	0.0509214540127	green3	2	0.81639	0.49672
MGH36_P7_A07	-0.877741218228	black	0	1.4662	0.43403
MGH36_P7_A08	-0.206854477962	green3	2	1.0663	0.53207
MGH36_P7_A09	-0.186321656925	green3	2	0.90072	2.2723
MGH36_P7_A10	NA	black	0	0.88596	0
MGH36_P7_A11	0.00144091897184	green3	2	0.70664	0.88127
MGH36_P7_A12	0.136478934305	green3	2	0.58688	0.67807
MGH36_P7_B01	0.0630429430012	green3	2	0.52406	0.78492
MGH36_P7_B02	-0.0251810133032	green3	2	0.88675	0.4678
MGH36_P7_B03	-0.113306936788	green3	2	1.0895	0.73552
MGH36_P7_B04	NA	black	0	0.73898	0
MGH36_P7_B06	-0.0949876726053	green3	2	0.97379	0.56852
MGH36_P7_B07	0.518678672568	blue	3	0.46048	0.32884
MGH36_P7_B08	-0.149152751478	green3	2	0.39726	0.95382
MGH36_P7_B09	0.314677406164	green3	2	0.60975	0.37184
MGH36_P7_B10	NA	black	0	0.86473	0
MGH36_P7_B11	0.0347263479314	green3	2	0.8335	0.30685
MGH36_P7_B12	NA	black	0	1.0172	0
MGH36_P7_C11	0.587729128122	blue	3	0.50589	0.1776
MGH36_P7_D01	0.625345674498	blue	3	0.123	0.45628
MGH36_P7_D02	-0.0192901078826	green3	2	0.88362	0.49057
MGH36_P7_D03	-0.0554515306643	green3	2	0.68437	0.98696
MGH36_P7_D05	NA	black	0	0.61824	0
MGH36_P7_D06	0.0446183514571	green3	2	0.82619	0.39726
MGH36_P7_D07	0.409070257664	blue	3	0.63041	0.12829
MGH36_P7_D08	0.46147079717	blue	3	0.50487	0.33571
MGH36_P7_D09	NA	black	0	0.60407	0
MGH36_P7_D10	0.181021380416	green3	2	0.72247	0.36513
MGH36_P7_D11	0.459346073306	blue	3	0.54003	0.28214
MGH36_P7_E01	NA	black	0	1.3561	0
MGH36_P7_E03	-0.331984704313	green3	2	0.67356	1.4271
MGH36_P7_E04	NA	black	0	0	0.41251
MGH36_P7_E05	-0.33905229809	green3	2	1.0552	0.27381
MGH36_P7_E07	0.150694377642	green3	2	0.50386	0.69153
MGH36_P7_E08	-0.0999721382191	green3	2	1.2922	0.88284
MGH36_P7_E10	0.528039234822	blue	3	0.52607	0.21537
MGH36_P7_E12	0.999499306442	black	0	0.18777	0.20539
MGH36_P7_F01	-0.235176089312	green3	2	1.0813	0.51299
MGH36_P7_F02	-0.229958346706	green3	2	0.5888	1.1577
MGH36_P7_F03	NA	black	0	0.80653	0
MGH36_P7_F04	NA	black	0	1.1545	0
MGH36_P7_F06	-0.103587219876	green3	2	0.95903	0.48852
MGH36_P7_F08	0.141889341416	green3	2	0.73898	0.43829
MGH36_P7_F09	0.208754375017	green3	2	0.68167	0.42438
MGH36_P7_F10	0.202997444642	green3	2	0.72596	0.26303
MGH36_P7_F11	-0.147915850982	green3	2	0.91609	0.090853
MGH36_P7_F12	-0.238037894518	green3	2	0.33457	0.99277
MGH36_P7_G01	0.121859432434	green3	2	0.57821	0.70221
MGH36_P7_G02	1.00204458946	black	0	0.20163	0.19283
MGH36_P7_G03	0.105948760672	green3	2	0.29748	0.74588
MGH36_P7_G04	-0.160016625276	green3	2	1.2302	0.7891
MGH36_P7_G05	0.191716588309	green3	2	0.5656	0.61447
MGH36_P7_G06	0.952230814899	black	0	0.13488	0.26903
MGH36_P7_G08	0.149537036105	green3	2	0.57434	0.6663
MGH36_P7_G09	0.248948797492	green3	2	0.6332	0.44573
MGH36_P7_G10	NA	black	0	0.39506	0
MGH36_P7_G11	0.304821800029	green3	2	0.68706	0.13225
MGH36_P7_H01	NA	black	0	1.3923	0
