Cell_name	Zvalue	Color	Cluster	HIF1A	LEP
93_P9_B02	NA	black	0	6.3413	0
93_P8_G11	NA	black	0	7.1844	0
93_P10_H08	NA	black	0	6.3049	0
93_P10_B04	NA	black	0	4.3998	0
93_P9_C12	NA	black	0	4.9906	0
93_P8_D11	NA	black	0	0	0
93_P8_A03	NA	black	0	0	0
93_P9_F02	NA	black	0	4.7834	0
93_P10_F03	NA	black	0	2.9609	0
93_P9_G11	0.245662502202	green3	2	3.3625	0.14926
93_P8_B09	NA	black	0	3.7118	0
93_P9_E05	NA	black	0	5.1385	0
93_P8_E09	NA	black	0	4.3425	0
93_P8_G03	NA	black	0	0	0
93_P9_C10	NA	black	0	0	0
93_P8_D06	NA	black	0	0	0
93_P8_C06	NA	black	0	1.8379	0
93_P10_C01	NA	black	0	3.1124	0
93_P8_A05	NA	black	0	3.3103	0
93_P8_C11	NA	black	0	0	0
93_P8_E08	NA	black	0	4.2259	0
93_P8_G12	NA	black	0	0	0
93_P9_D09	NA	black	0	4.9988	0
93_P8_D05	NA	black	0	3.6763	0
93_P9_F04	NA	black	0	3.4456	0
93_P10_H12	NA	black	0	3.8931	0
93_P9_H09	NA	black	0	4.3014	0
93_P10_E06	NA	black	0	4.9787	0
93_P10_D07	NA	black	0	6.262	0
93_P8_G05	NA	black	0	3.6456	0
93_P9_A03	NA	black	0	0	0
93_P10_E10	NA	black	0	3.9607	0
93_P10_G11	NA	black	0	5.1656	0
93_P10_F08	NA	black	0	5.4355	0
93_P8_F07	NA	black	0	4.3683	0
93_P10_E01	NA	black	0	3.958	0
93_P9_E07	NA	black	0	3.7693	0
93_P9_E03	NA	black	0	3.3258	0
93_P9_D12	NA	black	0	3.748	0
93_P8_E03	NA	black	0	5.606	0
93_P10_E12	NA	black	0	4.5906	0
93_P8_F11	NA	black	0	3.1368	0
93_P9_B03	NA	black	0	5.444	0
93_P9_H10	NA	black	0	0.29748	0
93_P10_E04	NA	black	0	4.3409	0
93_P8_A07	NA	black	0	3.8825	0
93_P8_F08	NA	black	0	4.2919	0
93_P10_C11	NA	black	0	2.4327	0
93_P10_H07	NA	black	0	0	0
93_P9_E02	NA	black	0	3.7339	0
93_P10_H05	NA	black	0	0	0
93_P9_B11	NA	black	0	5.5832	0
93_P9_G10	0.272090758611	green3	2	4.6448	1.0293
93_P10_F05	NA	black	0	4.8236	0
93_P9_F10	NA	black	0	4.961	0
93_P9_A02	NA	black	0	3.432	0
93_P8_D10	NA	black	0	4.5405	0
93_P10_G04	NA	black	0	0	0.17887
93_P10_C05	0.00182051404122	green3	2	4.2359	0.30217
93_P8_C07	NA	black	0	2.7146	0
93_P9_E06	NA	black	0	0.2461	0
93_P8_B11	NA	black	0	4.546	0
93_P10_H01	NA	black	0	4.3368	0
93_P8_H05	NA	black	0	5.4168	0
93_P9_B09	NA	black	0	6.0394	0
93_P8_H07	NA	black	0	6.5788	0
93_P10_C10	NA	black	0	2.7292	0
93_P8_D12	NA	black	0	6.1744	0
93_P8_C03	NA	black	0	5.6053	0
93_P10_C03	0.0108344578255	green3	2	4.1887	0.26903
93_P8_D08	NA	black	0	0	0
93_P8_E10	NA	black	0	0	0
93_P10_A12	NA	black	0	0	0
93_P10_F10	NA	black	0	0	0
93_P9_F07	NA	black	0	0	0
93_P8_B03	NA	black	0	0	0
93_P9_G05	0.624383761398	blue	3	5.3153	0.74157
93_P10_A05	NA	black	0	1.9222	0
93_P9_C06	NA	black	0	0.79909	0
93_P8_A02	NA	black	0	4.0853	0
93_P8_F01	NA	black	0	3.6617	0
93_P8_G04	NA	black	0	0	0
93_P9_D06	NA	black	0	4.6497	0
93_P10_A11	0.0867982587896	green3	2	3.3029	0.2558
93_P10_B12	0.0152509198361	green3	2	3.9697	0.2857
93_P8_B02	NA	black	0	3.2502	0
93_P8_C09	NA	black	0	4.9568	0
93_P8_B07	NA	black	0	3.3208	0
93_P8_C02	NA	black	0	0	0
93_P10_B09	NA	black	0	4.5639	0
93_P9_A12	NA	black	0	0.83754	0
93_P8_E05	NA	black	0	3.9666	0
93_P10_C08	NA	black	0	0.73898	0
93_P9_H02	-0.0376611540311	green3	2	2.5175	0.31846
93_P9_H05	NA	black	0	0	0
