Cell_name	Zvalue	Color	Cluster	SSTR2	TP53
MGH53_P2_D05	0.775437185882	green3	2	0.53605	0.3774
MGH36_P4_G12	1.12460519618	green3	2	0.18269	0.16993
MGH53_P2_D11	NA	black	0	0	0
MGH53_P4_C02	NA	black	0	0	0
MGH53_P4_F04	NA	black	0	0.12433	0
MGH36_P3_D10	NA	black	0	0	0
MGH54_P2_F04	NA	black	0	0	0
MGH36_P6_A03	NA	black	0	0	0
MGH53_P1_F07	NA	black	0	0	0
MGH36_P5_H08	NA	black	0	0.090853	0
MGH54_P2_A04	NA	black	0	0	0
MGH53_P4_E11	NA	black	0	0	0
MGH53_P2_G03	NA	black	0	0.14405	0
MGH36_P3_F04	NA	black	0	0.37518	0
MGH54_P2_B02	NA	black	0	0	0
MGH36_P5_C07	0.520190674344	red	1	0.13093	1.5489
MGH53_P2_E02	NA	black	0	0	0.64708
MGH54_P2_F09	NA	black	0	0	0
MGH36_P3_D05	NA	black	0	0	0
MGH36_P5_F12	NA	black	0	0	1.7761
MGH53_P2_H09	NA	black	0	0	0
MGH54_P2_F07	NA	black	0	0	0
MGH36_P5_D10	NA	black	0	0	2.2452
MGH54_P2_F11	NA	black	0	0	0
MGH53_P2_H04	NA	black	0	0.20664	0
MGH36_P6_F09	NA	black	0	0	0
MGH36_P9_F05	NA	black	0	0	0
MGH36_P8_G11	NA	black	0	0.36961	0
MGH54_P2_A07	-0.483408013864	red	1	0.13356	4.0269
MGH36_P7_H06	NA	black	0	0	0
MGH53_P1_A01	NA	black	0	0.16607	0
MGH53_P1_A02	NA	black	0	0	2.1362
MGH54_P2_E07	NA	black	0	0	0
MGH53_P4_F07	NA	black	0	0	0
MGH53_P2_C05	NA	black	0	0.28688	0
MGH53_P4_H07	0.821592656884	green3	2	0.23266	0.75702
MGH53_P2_C06	NA	black	0	0	0
MGH36_P3_F03	NA	black	0	0	0
MGH36_P2_A10	NA	black	0	0.25459	0
MGH53_P4_E03	NA	black	0	0	0
MGH36_P9_D12	NA	black	0	0	0
MGH54_P2_H03	NA	black	0	0.24732	0
MGH36_P4_D06	NA	black	0	0.14143	0
MGH53_P2_B03	-0.401362964968	red	1	0.34255	4.0026
MGH53_P4_F03	-0.719296270717	red	1	0.18396	4.7812
MGH36_P10_E09	NA	black	0	0	3.8736
MGH53_P1_G02	NA	black	0	0	0.27501
MGH54_P2_A02	NA	black	0	0.45628	0
MGH36_P3_A07	NA	black	0	0	2.4335
MGH53_P4_E12	1.04202460696	green3	2	0.301	0.14926
MGH54_P2_A03	-0.199602584244	red	1	0.27858	3.3296
MGH53_P4_E10	NA	black	0	0	0
MGH54_P2_D08	NA	black	0	0.21537	0
MGH36_P8_A02	NA	black	0	0	0
MGH54_P2_B07	NA	black	0	0	0.98477
MGH53_P1_B10	NA	black	0	0.15056	0
MGH53_P2_F08	NA	black	0	0.1635	0
MGH36_P10_A01	NA	black	0	0	0.41468
MGH36_P10_F01	NA	black	0	0	0
MGH53_P4_G03	NA	black	0	0	0
MGH53_P1_F12	NA	black	0	0	0
MGH36_P4_B03	NA	black	0	0	0
MGH54_P2_C07	NA	black	0	0	0
MGH53_P1_B02	NA	black	0	0	0
MGH54_P2_D05	NA	black	0	0	0
MGH53_P2_C08	NA	black	0	0	0
MGH53_P4_H09	0.245561467127	red	1	0.15445	2.169
MGH36_P8_H02	NA	black	0	1.0279	0
MGH36_P10_H10	NA	black	0	0.35952	0
MGH53_P1_A12	NA	black	0	0	4.3182
MGH36_P8_F08	NA	black	0	0	0
MGH53_P1_D10	NA	black	0	0	0
MGH53_P4_A09	NA	black	0	0.16479	0
MGH53_P2_H08	NA	black	0	0	4.1332
MGH36_P4_A09	NA	black	0	0	0
MGH53_P4_C08	NA	black	0	0.15186	0
MGH36_P5_E04	1.12770805027	green3	2	0.16221	0.19661
MGH53_P2_A07	NA	black	0	0	0
MGH54_P2_G10	NA	black	0	0.12433	0
MGH36_P7_E06	NA	black	0	0.20664	0
MGH36_P9_D04	NA	black	0	0	0.3584
MGH53_P1_C12	NA	black	0	0	0
MGH36_P8_F06	NA	black	0	0.19535	0
MGH36_P1_G11	NA	black	0	0.0229	0
MGH53_P1_F02	NA	black	0	0	0
MGH54_P2_D10	NA	black	0	0	0
MGH36_P9_A08	NA	black	0	0	3.2037
MGH53_P2_H03	-0.521389051172	red	1	0.25217	4.2739
MGH53_P4_B03	NA	black	0	0	4.5934
MGH53_P1_F10	NA	black	0	0	4.2987
MGH53_P4_B05	0.974839592727	green3	2	0.32077	0.26903
MGH53_P2_B08	NA	black	0	0.09356	0
MGH36_P3_B06	NA	black	0	0.21039	0
MGH36_P10_C02	NA	black	0	0	0
MGH36_P2_E05	NA	black	0	0	0
MGH54_P2_G09	NA	black	0	0.13225	0
MGH54_P2_D12	NA	black	0	0.23511	0
MGH53_P2_H02	-0.4439207929	red	1	0.096262	3.8871
MGH36_P8_F11	NA	black	0	0	0
MGH53_P2_A10	NA	black	0	0	0.34823
MGH54_P2_E09	NA	black	0	0	0
MGH36_P3_H06	NA	black	0	0	0
MGH36_P5_D05	NA	black	0	0.17121	0
MGH54_P2_A11	0.450216992057	red	1	0.25338	1.6088
MGH54_P2_G04	NA	black	0	0.19787	0
MGH36_P6_C01	NA	black	0	0	0.20539
MGH53_P2_E06	NA	black	0	0	0
MGH53_P1_E01	NA	black	0	0.13225	0
MGH36_P1_B01	-0.206997100745	red	1	0.063503	3.2681
MGH54_P2_H04	NA	black	0	0	0
MGH36_P2_C05	NA	black	0	0	5.8083
MGH36_P6_H05	1.21474877044	green3	2	0.086784	0.13881
MGH36_P10_E06	NA	black	0	0	0
MGH54_P2_F03	NA	black	0	0	0.30568
MGH36_P4_B10	NA	black	0	0	0
MGH54_P2_F02	NA	black	0	0	0
