Cell_name	Zvalue	Color	Cluster	SP1	STAR
MGH53_P2_F06	-0.746754526488	red	1	0.93659	2.3876
MGH36_P3_E01	NA	black	0	0	0.52807
MGH36_P5_E12	NA	black	0	0	0.53207
MGH53_P4_A12	NA	black	0	0	0
MGH36_P9_F01	NA	black	0	0	0
MGH36_P3_H10	NA	black	0	0	0.91533
MGH36_P3_H02	NA	black	0	0	0
MGH36_P5_C10	0.381641611432	green3	2	0.22527	0.41143
MGH54_P2_B05	NA	black	0	0	0
MGH36_P2_F09	NA	black	0	0	0.50284
MGH53_P4_A05	NA	black	0	0	0.51803
MGH54_P2_H10	NA	black	0	0	0
MGH53_P4_E06	NA	black	0	0	0.38736
MGH53_P4_D12	NA	black	0	0	0.19156
MGH54_P2_H07	0.014484639973	green3	2	2.1047	0.92296
MGH53_P2_E03	NA	black	0	0	0
MGH53_P1_A05	NA	black	0	0	0
MGH36_P7_D12	NA	black	0	0	0
MGH53_P4_H03	NA	black	0	0	2.3135
MGH53_P2_E05	NA	black	0	0	0.33685
MGH36_P4_H11	NA	black	0	0	0.25338
MGH53_P1_B01	NA	black	0	0	0
MGH54_P2_G03	NA	black	0	3.2997	0
MGH53_P2_F12	NA	black	0	0	0
MGH36_P4_C09	0.297039538686	green3	2	0.76214	0.29396
MGH36_P5_C08	NA	black	0	0	0.25096
MGH36_P4_H06	NA	black	0	0	0.25096
MGH36_P10_E01	NA	black	0	0	0
MGH36_P8_E12	NA	black	0	0	0.24245
MGH53_P2_C10	NA	black	0	0	0.55287
MGH36_P4_H08	NA	black	0	0	0.1903
MGH36_P7_F07	NA	black	0	1.0902	0
MGH54_P2_A09	NA	black	0	0	0.3173
MGH36_P6_H11	NA	black	0	0	0.38626
MGH53_P2_E12	NA	black	0	0	0
MGH53_P1_F08	0.026433482957	green3	2	2.7949	0.94336
MGH36_P6_D12	0.6678669426	green3	2	0.17632	0.12565
MGH36_P2_H09	NA	black	0	0	0.32193
MGH53_P1_C01	NA	black	0	0	1.7744
MGH53_P2_F11	NA	black	0	0	0
MGH36_P6_H04	0.60333095883	green3	2	0.075875	0.23389
MGH36_P5_G05	NA	black	0	0	0.24123
MGH53_P4_B04	NA	black	0	0	0
MGH53_P1_E05	NA	black	0	0	0
MGH36_P10_A08	NA	black	0	0	0.37184
