Cell_name	Zvalue	Color	Cluster	ATM	CFLAR
MGH54_P5_G01	NA	black	0	0	4.8547
MGH54_P5_G02	-0.0150972570188	green3	2	1.1808	2.8028
MGH54_P5_G03	0.131253340024	green3	2	0.35389	2.6147
MGH54_P5_G04	NA	black	0	0	3.2282
MGH54_P5_G05	-0.14928833636	green3	2	0.38184	3.1421
MGH54_P5_G06	0.0868392133304	green3	2	0.7866	2.2708
MGH54_P5_G07	0.191175821564	green3	2	0.02432	2.6194
MGH54_P5_G08	0.648344365153	green3	2	0.10434	1.9804
MGH54_P5_G09	0.234274670287	green3	2	0.7137	1.6604
MGH54_P5_G10	-0.143534939397	green3	2	0.23756	3.0745
MGH54_P5_G11	NA	black	0	0	2.3106
MGH54_P5_G12	-0.00302070364445	green3	2	0.31383	2.8624
MGH54_P5_H01	NA	black	0	0	3.9792
MGH54_P5_H02	0.818482988717	green3	2	0.086784	1.766
MGH54_P5_H03	-0.277900900285	green3	2	1.648	2.4441
MGH54_P5_H04	0.966631731264	green3	2	2.0772	3.912
MGH54_P5_H05	0.262990576548	green3	2	0.47093	2.2428
MGH54_P5_H06	-0.535066168184	green3	2	0.23756	3.6548
MGH54_P5_H07	-0.193686914851	green3	2	1.4276	2.4287
MGH54_P5_H08	0.151633851981	green3	2	0.12565	2.6478
MGH54_P5_H09	0.0345291714634	green3	2	0.052416	2.8074
MGH54_P5_H10	0.679682399101	green3	2	0.23511	1.763
MGH54_P5_H11	0.45221474746	green3	2	0.25096	2.1233
MGH54_P5_H12	0.105871671511	green3	2	0.41251	2.6427
MGH54_P13_A02	0.0760932469144	green3	2	0.86235	1.6149
MGH54_P13_A03	NA	black	0	0	2.4618
MGH54_P13_A04	-0.687492573271	green3	2	0.30685	3.9738
MGH54_P13_A05	-0.429607989919	green3	2	0.28333	3.5432
MGH54_P13_A06	NA	black	0	0	2.8635
MGH54_P13_A07	-0.0420484399356	green3	2	0.2916	2.9264
MGH54_P13_A09	NA	black	0	0	5.3728
MGH54_P13_A10	0.819112997237	green3	2	1.8197	4.0224
MGH54_P13_A11	-0.0375533493465	green3	2	0.81803	3.1408
MGH54_P13_B01	-0.00158183287955	green3	2	0.72857	2.8762
MGH54_P13_B02	-0.034389803671	green3	2	0.22033	2.9063
MGH54_P13_B03	NA	black	0	0	3.5723
MGH54_P13_B04	NA	black	0	0	4.8467
MGH54_P13_B05	NA	black	0	0	3.5253
MGH54_P13_B06	-0.0391188774526	green3	2	0.21661	2.913
MGH54_P13_B07	-1.37025113558	red	1	0.1003	4.5353
MGH54_P13_B08	0.0495977003327	green3	2	0.86156	2.2287
MGH54_P13_B10	-0.0124353386169	green3	2	1.9169	2.8871
MGH54_P13_B11	0.438157051537	green3	2	1.2666	4.936
MGH54_P13_B12	NA	black	0	0	3.3001
MGH54_P13_C01	-0.209661137578	green3	2	0.33113	3.2225
MGH54_P13_C02	0.0049101587273	green3	2	0.096262	2.8448
MGH54_P13_C03	-0.840095817459	green3	2	0.079975	3.8814
MGH54_P13_C04	NA	black	0	0	3.4913
MGH54_P13_C05	-0.244245593425	green3	2	0.20789	3.2113
MGH54_P13_C06	-0.939882943219	green3	2	0.2558	4.2618
MGH54_P13_C07	-0.546293122294	green3	2	0.28806	3.7291
MGH54_P13_C09	-1.34243050963	red	1	0.084064	4.4749
MGH54_P13_C10	-1.44378277709	red	1	0.08134	4.5864
MGH54_P13_C11	NA	black	0	0	3.3137
MGH54_P13_C12	-0.461579778477	green3	2	1.9373	2.3757
MGH54_P13_D01	2.73298917378	black	0	4.0639	3.9646
MGH54_P13_D02	-0.0658325849159	green3	2	0.543	3.0362
MGH54_P13_D03	-0.690679361239	green3	2	0.17505	3.8015
MGH54_P13_D04	-0.187873220936	green3	2	2.0097	2.7029
MGH54_P13_D05	-0.563779911	green3	2	2.5039	2.5087
MGH54_P13_D06	0.505707613886	green3	2	0.094912	2.184
MGH54_P13_D07	0.717483439499	green3	2	0.14535	1.8335
MGH54_P13_D09	NA	black	0	0	1.7411
MGH54_P13_D10	-1.30380328374	red	1	3.3904	2.3417
MGH54_P13_D11	NA	black	0	0	5.0804
MGH54_P13_D12	-0.36955929537	green3	2	2.3567	2.6168
MGH54_P13_E01	-0.493661905375	green3	2	0.82538	5.4431
MGH54_P13_E02	0.0678423512243	green3	2	0.15704	2.7583
MGH54_P13_E03	-0.25061316954	green3	2	0.16479	3.2001
MGH54_P13_E04	0.275805316303	green3	2	0.47612	2.2041
MGH54_P13_E05	0.0168826365479	green3	2	0.88675	2.6114
MGH54_P13_E06	0.216142580422	green3	2	0.14405	2.5539
MGH54_P13_E07	-0.0922584266187	green3	2	2.5051	2.8508
MGH54_P13_E08	NA	black	0	0	3.0133
MGH54_P13_E09	-1.65826945031	black	0	0.17377	5.0325
MGH54_P13_E10	0.0835931487298	green3	2	0.24732	2.724
MGH54_P13_E11	0.413441629939	green3	2	2.2317	3.2814
MGH54_P13_E12	-0.163793810496	green3	2	0.25459	3.1115
MGH54_P13_F01	-1.17321960176	red	1	0.16736	4.4154
MGH54_P13_F02	-0.433329226722	green3	2	1.5236	2.0521
MGH54_P13_F03	-0.0917229626389	green3	2	0.23879	2.996
MGH54_P13_F04	-0.132567655225	green3	2	0.86076	3.9564
MGH54_P13_F05	0.163645613398	green3	2	0.42223	2.516
MGH54_P13_F06	0.348442091359	green3	2	0.14012	2.3702
MGH54_P13_F07	-0.165908228922	green3	2	0.12565	3.0721
MGH54_P13_F08	0.155184938941	green3	2	0.44573	2.5195
MGH54_P13_F09	0.410703384963	green3	2	2.3434	3.2517
MGH54_P13_F10	-0.173093287368	green3	2	0.24732	3.123
MGH54_P13_F11	-0.306110430534	green3	2	1.9389	2.5519
MGH54_P13_F12	NA	black	0	0	2.9703
MGH54_P13_G01	-0.121744768984	green3	2	0.19535	3.0302
MGH54_P13_G02	-0.942300694571	green3	2	0.22527	4.212
MGH54_P13_G03	1.06819048108	green3	2	1.8961	4.2513
MGH54_P13_G05	-0.256404138979	green3	2	2.3791	2.7113
MGH54_P13_G06	-0.237059451259	green3	2	0.071763	3.1455
MGH54_P13_G07	-0.281821514668	green3	2	0.30334	3.325
MGH54_P13_G08	-0.183074657375	green3	2	0.071763	3.0788
MGH54_P13_G09	-1.57382828147	black	0	3.4182	2.2271
MGH54_P13_G10	-0.0764832315567	green3	2	0.11503	2.9523
MGH54_P13_G11	NA	black	0	0	2.4828
MGH54_P13_G12	0.262582766086	green3	2	0.079975	2.514
MGH54_P13_H02	-0.185839388663	green3	2	0.35614	3.1952
MGH54_P13_H03	-0.670894095227	green3	2	0.27023	3.8943
MGH54_P13_H04	1.13019525572	green3	2	0.094912	1.3144
MGH54_P13_H05	NA	black	0	0	2.2222
MGH54_P13_H06	NA	black	0	0	6.1869
MGH54_P13_H07	0.312939329392	green3	2	0.14012	2.4201
MGH54_P13_H08	-0.0178925839131	green3	2	0.97746	2.2054
MGH54_P13_H09	NA	black	0	0	3.3573
MGH54_P13_H10	-0.13802850694	green3	2	0.93584	4.7146
MGH54_P13_H11	-0.252451765617	green3	2	1.8754	2.5912
MGH60_P4_A01	0.000201396454687	green3	2	0.2461	2.855
MGH60_P4_A02	0.023909040097	green3	2	1.5089	2.9402
MGH60_P4_A03	-0.029664154788	green3	2	0.66175	2.9751
MGH60_P4_A04	0.184353315653	green3	2	0.64893	2.1702
MGH60_P4_A05	0.77176299548	green3	2	0.14143	1.7587
MGH60_P4_A06	0.208147282332	green3	2	2.7811	3.0552
MGH60_P4_A07	2.84148246222	black	0	2.9549	4.579
MGH60_P4_A08	NA	black	0	0	2.2995
MGH60_P4_A09	0.177181338183	green3	2	0.62667	2.2476
MGH60_P4_A10	-0.00599168791339	green3	2	0.98404	3.7374
MGH60_P4_A11	1.33211499836	green3	2	2.9495	3.6951
MGH60_P4_A12	-0.698132056578	green3	2	1.9731	2.1398
MGH60_P4_B01	NA	black	0	0	2.4911
MGH60_P4_B02	0.265814637828	green3	2	0.23266	2.441
MGH60_P4_B03	0.15114516375	green3	2	2.0772	3.06
MGH60_P4_B04	-0.0884266090167	green3	2	1.3578	2.6365
MGH60_P4_B05	0.0123332591996	green3	2	0.43296	2.8345
MGH60_P4_B06	2.59537193158	black	0	5.1925	3.6884
MGH60_P4_B07	-0.524311441599	green3	2	2.2913	2.4712
MGH60_P4_B08	-0.161768547738	green3	2	0.17505	3.0812
MGH60_P4_B09	-0.297250503428	green3	2	0.13881	3.2505
MGH60_P4_B10	0.0742566827322	green3	2	0.75446	2.4526
MGH60_P4_B11	5.38781134588	black	0	3.3001	5.6312
MGH60_P4_B12	NA	black	0	0	3.4897
MGH60_P4_C01	NA	black	0	0	3.5067
MGH60_P4_C02	-0.321158304431	green3	2	2.7757	2.7266
MGH60_P4_C03	-0.98857196178	green3	2	3.731	2.5514
MGH60_P4_C04	-0.322525694468	green3	2	3.0796	2.7628
MGH60_P4_C05	-0.38550675933	green3	2	0.7891	4.74
MGH60_P4_C06	-1.02753958141	green3	2	0.44784	4.8642
MGH60_P4_C07	5.81750136951	black	0	3.4496	5.6708
MGH60_P4_C09	-1.55100749891	black	0	0.20914	4.984
MGH60_P4_C11	-0.120069840888	green3	2	1.6613	2.7018
MGH60_P4_C12	0.687900212704	green3	2	0.26784	1.6929
MGH60_P4_D01	-0.463488889428	green3	2	2.473	2.5734
MGH60_P4_D02	NA	black	0	0	2.9618
MGH60_P4_D03	-0.570120658413	green3	2	1.4988	1.7549
MGH60_P4_D04	-0.687902919876	green3	2	0.096262	3.715
MGH60_P4_D05	-0.783712047792	green3	2	0.34142	4.1857
MGH60_P4_D06	NA	black	0	0	4.134
MGH60_P4_D07	0.0784697653807	green3	2	1.184	3.3127
MGH60_P4_D08	-0.0194398985773	green3	2	0.89685	3.1532
MGH60_P4_D10	-0.470340763149	green3	2	0.123	3.4658
MGH60_P4_D12	0.18241924682	green3	2	2.11	3.0875
MGH60_P4_E01	NA	black	0	0	2.5051
MGH60_P4_E02	0.0692568228281	green3	2	0.58785	2.656
MGH60_P4_E03	-0.689511659044	green3	2	0.18142	3.8073
MGH60_P4_E04	-0.222643470732	green3	2	1.3724	2.2943
MGH60_P4_E05	-1.32401497519	red	1	0.1903	4.6513
MGH60_P4_E06	0.617034161241	green3	2	0.1865	1.9328
MGH60_P4_E07	NA	black	0	0	3.489
MGH60_P4_E08	0.310530581556	green3	2	2.1167	3.2135
MGH60_P4_E09	0.00287210563965	green3	2	0.94186	2.7166
MGH60_P4_E11	NA	black	0	0	3.4315
MGH60_P4_E12	-0.56846611002	green3	2	0.14012	3.6058
MGH60_P4_F01	0.144725020546	green3	2	0.07861	2.6663
MGH60_P4_F02	-0.661563787238	green3	2	0.72944	5.2891
MGH60_P4_F03	-0.219460228494	green3	2	0.30685	3.225
