Cell_name	Zvalue	Color	Cluster	PPARD	SOD1
MGH53_P4_A09	-5.86263992564	black	0	4.4702	2.1606
MGH53_P2_H08	NA	black	0	0	0
MGH36_P4_A09	NA	black	0	0	6.2248
MGH53_P4_C08	NA	black	0	0.42868	0
MGH36_P5_E04	0.358185084255	red	1	0.2302	5.226
MGH53_P2_A07	0.0344991125886	red	1	1.3951	3.852
MGH54_P2_G10	NA	black	0	0.19661	0
MGH36_P7_E06	0.0255015661715	red	1	0.65901	5.7219
MGH36_P9_D04	NA	black	0	3.5203	0
MGH53_P1_C12	NA	black	0	0	0
MGH36_P8_F06	0.813688931304	red	1	0.31962	4.4142
MGH36_P1_G11	NA	black	0	0.19661	0
MGH53_P1_F02	NA	black	0	2.6615	0
MGH54_P2_D10	2.62717666261	black	0	0.23143	1.7106
MGH36_P9_A08	NA	black	0	1.4673	0
MGH53_P2_H03	-1.62712339812	black	0	4.027	4.6049
MGH53_P4_B03	NA	black	0	0	6.1317
MGH53_P1_F10	0.0482304224739	red	1	1.3294	4.8407
MGH53_P4_B05	NA	black	0	0	0
MGH53_P2_B08	NA	black	0	4.2285	0
MGH36_P3_B06	NA	black	0	0	2.4727
MGH36_P10_C02	NA	black	0	4.0453	0
MGH36_P2_E05	0.336781826785	red	1	0.14012	5.2966
MGH54_P2_G09	NA	black	0	0	0
MGH54_P2_D12	NA	black	0	4.6845	0
MGH53_P2_H02	-1.27780124241	red	1	2.9009	4.1585
MGH36_P8_F11	NA	black	0	3.9982	0
MGH53_P2_A10	-1.4158348745	black	0	3.2984	4.3636
MGH54_P2_E09	NA	black	0	1.4441	0
MGH36_P3_H06	NA	black	0	0.84157	0
MGH36_P5_D05	-0.11035113046	red	1	0.36961	5.981
MGH54_P2_A11	0.830811012735	red	1	0.37962	4.3054
MGH54_P2_G04	NA	black	0	3.6818	0
MGH36_P6_C01	NA	black	0	4.5645	0
MGH53_P2_E06	0.047843032247	red	1	1.2576	5.2445
MGH53_P1_E01	NA	black	0	0	0
MGH36_P1_B01	0.468400777715	red	1	0.58111	4.7497
MGH54_P2_H04	-0.0304028558043	red	1	2.403	5.7203
MGH36_P2_C05	0.447054145714	red	1	1.1388	2.9338
MGH36_P6_H05	NA	black	0	0.15704	0
MGH36_P10_E06	NA	black	0	0	4.0919
MGH54_P2_F03	NA	black	0	0.71105	0
MGH36_P4_B10	NA	black	0	0	6.605
